id,x[m],y[m],z[m],t[s]
1,2.8,3.2,0.5,1
1,2.7601642717,3.1963785702,0.5,2
1,2.7202820923,3.1994464301,0.5,3
1,2.6810588653,3.2072910755,0.5,4
1,2.7190061972,3.1946419649,0.5,5
1,2.6791240178,3.1977098248,0.5,6
1,2.6391930429,3.195360944,0.5,7
1,2.5992483297,3.1932585906,0.5,8
1,2.5592936042,3.1913559847,0.5,9
1,2.5196295877,3.1861824173,0.5,10
1,2.4796615494,3.1845836958,0.5,11
1,2.4396853094,3.1832052047,0.5,12
1,2.3997061048,3.181915553,0.5,13
1,2.3598703766,3.1782941231,0.5,14
1,2.3198866931,3.1771517322,0.5,15
1,2.2799012943,3.1760710457,0.5,16
1,2.2400079454,3.1731520202,0.5,17
1,2.2000965391,3.1704912598,0.5,18
1,2.1601777758,3.1679432536,0.5,19
1,2.120186103,3.167127097,0.5,20
1,2.0802551281,3.1647782161,0.5,21
1,2.0403144998,3.1625996364,0.5,22
1,2.0003697866,3.1604972831,0.5,23
1,1.9604213958,3.158466009,0.5,24
1,1.920485322,3.1562054765,0.5,25
1,1.8805739157,3.1535447161,0.5,26
1,1.8407983592,3.1493132739,0.5,27
1,1.8012003794,3.1436564196,0.5,28
1,1.7618090371,3.1367050063,0.5,29
1,1.7226436836,3.128576348,0.5,30
1,1.6834204565,3.1207317026,0.5,31
1,1.644737475,3.1105519706,0.5,32
1,1.6059707338,3.1006960195,0.5,33
1,1.5674390808,3.08995769,0.5,34
1,1.5282997123,3.081704822,0.5,35
1,1.4896768344,3.0712993763,0.5,36
1,1.4507330536,3.0621680052,0.5,37
1,1.4116512755,3.0536465836,0.5,38
1,1.3723871001,3.0460095339,0.5,39
1,1.3333027229,3.0375000418,0.5,40
1,1.2943429189,3.0284372787,0.5,41
1,1.2558195665,3.0176692092,0.5,42
1,1.2174637704,3.0063187511,0.5,43
1,1.1794100676,2.9939933421,0.5,44
1,1.1412871506,2.9818837096,0.5,45
1,1.1032552199,2.9694912827,0.5,46
1,1.0649075493,2.9581134024,0.5,47
1,1.0267210511,2.9462057847,0.5,48
1,0.9886944231,2.9337970956,0.5,49
1,0.9505928991,2.9216203199,0.5,50
1,0.9125709484,2.9091973063,0.5,51
1,0.8742681472,2.8976692787,0.5,52
1,0.8361083986,2.8856762149,0.5,53
1,0.7978849703,2.8738876809,0.5,54
1,0.7598001941,2.8616586244,0.5,55
1,0.7216516969,2.8496298189,0.5,56
1,0.6833847417,2.8379833543,0.5,57
1,0.6450626872,2.8265194919,0.5,58
1,0.6068663935,2.8146433333,0.5,59
1,0.5686147855,2.8029465606,0.5,60
1,0.53048556,2.7908568062,0.5,61
1,0.4923009293,2.7789432014,0.5,62
1,0.4540632649,2.7672009265,0.5,63
1,0.4157748078,2.7556253465,0.5,64
1,0.3776007975,2.7436777554,0.5,65
1,0.3393758566,2.731894127,0.5,66
1,0.301262535,2.7197543283,0.5,67
1,0.2628967168,2.708437792,0.5,68
1,0.2246363401,2.6967697339,0.5,69
1,0.1864230561,2.6849483582,0.5,70
1,0.1482490457,2.6730007672,0.5,71
1,0.1106658224,2.6593076548,0.5,72
1,0.0734673936,2.6446012993,0.5,73
1,0.0372943445,2.6275276201,0.5,74
1,0.0016926099,2.6092925853,0.5,75
1,-0.0335449191,2.5903633342,0.5,76
1,-0.0685221637,2.5709573464,0.5,77
1,-0.1031181507,2.5508795556,0.5,78
1,-0.137865285,2.5310644942,0.5,79
1,-0.1740348247,2.5139833819,0.5,80
2,2.6450928421,2.7444412344,0.5,1
2,2.6682213913,2.7770766479,0.5,2
2,2.6920220659,2.8092251764,0.5,3
2,2.6747441092,2.8453010993,0.5,4
2,2.69156346,2.8090090969,0.5,5
2,2.6980818332,2.8484744084,0.5,6
2,2.7372212027,2.8402215447,0.5,7
2,2.7123397938,2.8715411151,0.5,8
2,2.7444457061,2.8476829844,0.5,9
2,2.7154353194,2.8752220016,0.5,10
2,2.7553941631,2.8770360619,0.5,11
2,2.7175432252,2.8899707635,0.5,12
2,2.6809200815,2.9060563268,0.5,13
2,2.641476835,2.9127069132,0.5,14
2,2.680857831,2.9056971238,0.5,15
2,2.6410392745,2.9095027191,0.5,16
2,2.6023981912,2.9198403534,0.5,17
2,2.5628991256,2.9261509643,0.5,18
2,2.5230818634,2.929970079,0.5,19
2,2.4832435228,2.9335626575,0.5,20
2,2.4432512443,2.9343485673,0.5,21
2,2.4032802418,2.9328257529,0.5,22
2,2.3633062697,2.9313829933,0.5,23
2,2.323334385,2.9298835165,0.5,24
2,2.2833883363,2.9319603388,0.5,25
2,2.2442022188,2.9399883024,0.5,26
2,2.2296753843,2.9772572047,0.5,27
2,2.1904775029,2.9852275306,0.5,28
2,2.15279232,2.998637489,0.5,29
2,2.1178097231,3.0180338268,0.5,30
2,2.0794306788,3.0293054265,0.5,31
2,2.0397507847,3.0343557733,0.5,32
2,1.999795608,3.0324626668,0.5,33
2,1.9597991804,3.0329972479,0.5,34
2,1.9198050876,3.0336846676,0.5,35
2,1.8798095825,3.033085023,0.5,36
2,1.8398846761,3.0306351573,0.5,37
2,1.8001028162,3.0264633915,0.5,38
2,1.7604323713,3.0315874324,0.5,39
2,1.7209395043,3.0252381443,0.5,40
2,1.6809863528,3.0271735219,0.5,41
2,1.6409962203,3.0262850945,0.5,42
2,1.6010560074,3.0240989129,0.5,43
2,1.5613283372,3.019439275,0.5,44
2,1.5213892701,3.02164629,0.5,45
2,1.4824592099,3.0124565994,0.5,46
2,1.4429050504,3.006501059,0.5,47
2,1.4031243153,3.0023185813,0.5,48
2,1.3650141373,2.9901689173,0.5,49
2,1.327814641,2.9754652623,0.5,50
2,1.2908621217,2.9601514999,0.5,51
2,1.2550736539,2.9422857344,0.5,52
2,1.2203009092,2.9225156503,0.5,53
2,1.1859309723,2.9020533085,0.5,54
2,1.1523870537,2.8802632758,0.5,55
2,1.1189153866,2.8583624195,0.5,56
2,1.0847606416,2.837542876,0.5,57
2,1.0501210543,2.8175404014,0.5,58
2,1.014836424,2.798699094,0.5,59
2,0.9794031626,2.7801388142,0.5,60
2,0.9441210887,2.7612927201,0.5,61
2,0.908279655,2.7435334512,0.5,62
2,0.8723136361,2.7260278668,0.5,63
2,0.8358776773,2.7095226888,0.5,64
2,0.7993378886,2.6932486653,0.5,65
2,0.7626985482,2.6772000286,0.5,66
2,0.7258720679,2.661585601,0.5,67
2,0.6889575963,2.646180349,0.5,68
2,0.6519586038,2.6309792126,0.5,69
2,0.6150441322,2.6155739606,0.5,70
2,0.5780570083,2.6003439684,0.5,71
2,0.5414914464,2.5841279367,0.5,72
2,0.5049258846,2.5679119049,0.5,73
2,0.4684671575,2.5514570812,0.5,74
2,0.4324942459,2.5339656654,0.5,75
2,0.3966504113,2.5162112427,0.5,76
2,0.3608011942,2.4984676908,0.5,77
2,0.3250980243,2.4804320689,0.5,78
2,0.2902039961,2.4608768446,0.5,79
2,0.2554204354,2.4411257964,0.5,80
3,2.995564819,2.7315923028,0.5,1
3,3.0216591629,2.761908721,0.5,2
