id,x[m],y[m],z[m],t[s],,,,,,,,,
1,1.1473571259,2.7374080299,0.5,82,,1,-0.1129710927,2.7425217141,-0.1129710927,2.7425217141,,-1.2603282186,0.0051136842
1,1.1073913651,2.7390627094,0.5,83,,,,,-0.1529368535,2.7441763936,,,
1,1.0674464114,2.7369649314,0.5,84,,,,,-0.1928818072,2.7420786156,,,
1,1.0278127309,2.7315638789,0.5,85,,,,,-0.2325154877,2.7366775631,,,
1,0.988560814,2.7238640725,0.5,86,,,,,-0.2717674046,2.7289777567,,,
1,0.9486733339,2.726862228,0.5,87,,,,,-0.3116548847,2.7319759122,,,
1,0.9096480609,2.7180856644,0.5,88,,,,,-0.3506801577,2.7231993486,,,
1,0.871808805,2.7051168283,0.5,89,,,,,-0.3885194136,2.7102305125,,,
1,0.8356392203,2.6880358114,0.5,90,,,,,-0.4246889983,2.6931494956,,,
1,0.7989851091,2.672020939,0.5,91,,,,,-0.4613431095,2.6771346232,,,
1,0.7684202801,2.6462180084,0.5,92,,,,,-0.4919079385,2.6513316926,,,
1,0.7340681653,2.6257257609,0.5,93,,,,,-0.5262600533,2.6308394451,,,
1,0.7008917236,2.6033802084,0.5,94,,,,,-0.559436495,2.6084938926,,,
1,0.6701375922,2.5778031992,0.5,95,,,,,-0.5901906264,2.5829168834,,,
1,0.6395731395,2.5519998228,0.5,96,,,,,-0.6207550791,2.557113507,,,
1,0.6163621099,2.5194230196,0.5,97,,,,,-0.6439661087,2.5245367038,,,
1,0.5896141717,2.4896816713,0.5,98,,,,,-0.6707140469,2.4947953555,,,
1,0.5666329754,2.4569423277,0.5,99,,,,,-0.6936952432,2.4620560119,,,
1,0.5451717413,2.4231870995,0.5,100,,,,,-0.7151564773,2.4283007837,,,
1,0.5259127249,2.3881287155,0.5,101,,,,,-0.7344154937,2.3932423997,,,
1,0.5077788456,2.3524753507,0.5,102,,,,,-0.752549373,2.3575890349,,,
1,0.4931588543,2.3152428938,0.5,103,,,,,-0.7671693643,2.320356578,,,
1,0.4789502696,2.2778515028,0.5,104,,,,,-0.781377949,2.282965187,,,
1,0.4690606684,2.2390933321,0.5,105,,,,,-0.7912675502,2.2442070163,,,
1,0.461122996,2.1998888253,0.5,106,,,,,-0.7992052226,2.2050025095,,,
1,0.4517793035,2.1609954401,0.5,107,,,,,-0.8085489151,2.1661091243,,,
1,0.4456802648,2.121463153,0.5,108,,,,,-0.8146479538,2.1265768372,,,
1,0.4428288344,2.0815649156,0.5,109,,,,,-0.8174993842,2.0866785998,,,
1,0.4394671235,2.0417064297,0.5,110,,,,,-0.8208610951,2.0468201139,,,
1,0.4397193732,2.0017072251,0.5,111,,,,,-0.8206088454,2.0068209093,,,
1,0.4394313367,1.9617082622,0.5,112,,,,,-0.8208968819,1.9668219464,,,
1,0.439147115,1.9217092719,0.5,113,,,,,-0.8211811036,1.9268229561,,,
1,0.4383542478,1.8817171307,0.5,114,,,,,-0.8219739708,1.8868308149,,,
1,0.437571477,1.8417247906,0.5,115,,,,,-0.8227567416,1.8468384748,,,
1,0.4362959087,1.8017451342,0.5,116,,,,,-0.8240323099,1.8068588184,,,
1,0.4350361702,1.7617649758,0.5,117,,,,,-0.8252920484,1.76687866,,,
1,0.4333021053,1.7218025808,0.5,118,,,,,-0.8270261133,1.726916265,,,
1,0.4316094996,1.6818384082,0.5,119,,,,,-0.828718719,1.6869520924,,,
1,0.4294651406,1.6418959281,0.5,120,,,,,-0.830863078,1.6470096123,,,
1,0.430397637,1.6019067989,0.5,121,,,,,-0.8299305816,1.6070204831,,,
1,0.4278426423,1.5619884823,0.5,122,,,,,-0.8324855763,1.5671021665,,,
1,0.4282969,1.5219910617,0.5,123,,,,,-0.8320313186,1.5271047459,,,
1,0.4282940765,1.4819910618,0.5,124,,,,,-0.8320341421,1.487104746,,,
1,0.4282913154,1.4419910619,0.5,125,,,,,-0.8320369032,1.4471047461,,,
1,0.4278514525,1.4019934805,0.5,126,,,,,-0.8324767661,1.4071071647,,,
1,0.4274163444,1.3619958471,0.5,127,,,,,-0.8329118742,1.3671095313,,,
1,0.4265582544,1.3220050521,0.5,128,,,,,-0.8337699642,1.3271187363,,,
1,0.4257092406,1.2820140634,0.5,129,,,,,-0.834618978,1.2871277476,,,
1,0.4244507029,1.2420338673,0.5,130,,,,,-0.8358775157,1.2471475515,,,
1,0.4232179566,1.2020528676,0.5,131,,,,,-0.837110262,1.2071665518,,,
1,0.4215757538,1.1620865922,0.5,132,,,,,-0.8387524648,1.1672002764,,,
1,0.4198634224,1.12212326,0.5,133,,,,,-0.8404647962,1.1272369442,,,
1,0.4231454618,1.0822581346,0.5,134,,,,,-0.8371827568,1.0873718188,,,
1,0.4263444335,1.0423862576,0.5,135,,,,,-0.8339837851,1.0474999418,,,
1,0.4329705644,1.0029388953,0.5,136,,,,,-0.8273576542,1.0080525795,,,
1,0.4409458733,0.9637420275,0.5,137,,,,,-0.8193823453,0.9688557117,,,
1,0.4537136248,0.9258344488,0.5,138,,,,,-0.8066145938,0.930948133,,,
1,0.4709721397,0.889749221,0.5,139,,,,,-0.7893560789,0.8948629052,,,
1,0.4855151773,0.8524866385,0.5,140,,,,,-0.7748130413,0.8576003227,,,
1,0.5000647037,0.8152265891,0.5,141,,,,,-0.7602635149,0.8203402733,,,
1,0.5081169493,0.7760454541,0.5,142,,,,,-0.7522112693,0.7811591383,,,
1,0.5189358754,0.7375363533,0.5,143,,,,,-0.7413923432,0.7426500375,,,
1,0.5272148887,0.6984025069,0.5,144,,,,,-0.7331133299,0.7035161911,,,
1,0.5315056674,0.6586333075,0.5,145,,,,,-0.7288225512,0.6637469917,,,
1,0.531134664,0.6186350281,0.5,146,,,,,-0.7291935546,0.6237487123,,,
1,0.5325164957,0.5786589035,0.5,147,,,,,-0.7278117229,0.5837725877,,,
1,0.5347577932,0.5387217455,0.5,148,,,,,-0.7255704254,0.5438354297,,,
1,0.5369160399,0.4987800133,0.5,149,,,,,-0.7234121787,0.5038936975,,,
1,0.5384223077,0.4588083839,0.5,150,,,,,-0.7219059109,0.4639220681,,,
1,0.540025589,0.4188405282,0.5,151,,,,,-0.7203026296,0.4239542124,,,
1,0.5328642336,0.3794868119,0.5,152,,,,,-0.727463985,0.3846004961,,,
1,0.5364649618,0.3396492071,0.5,153,,,,,-0.7238632568,0.3447628913,,,
1,0.5442394344,0.3004120108,0.5,154,,,,,-0.7160887842,0.305525695,,,
1,0.5494113633,0.2607477806,0.5,155,,,,,-0.7109168553,0.2658614648,,,
1,0.5627062045,0.223021832,0.5,156,,,,,-0.6976220141,0.2281355162,,,
1,0.5704444703,0.183777479,0.5,157,,,,,-0.6898837483,0.1888911632,,,
1,0.5821364597,0.1455244088,0.5,158,,,,,-0.6781917589,0.150638093,,,
1,0.5993461214,0.1094158566,0.5,159,,,,,-0.6609820972,0.1145295408,,,
1,0.6226026058,0.0768714879,0.5,160,,,,,-0.6377256128,0.0819851721,,,
1,0.6426285643,0.0422454719,0.5,161,,,,,-0.6176996543,0.0473591561,,,
2,1.613828587,2.7601775991,0.5,82,,2,0.3526670026,2.7697472112,0.5,81,,-1.2611615844,0.0095696121
2,1.5747389626,2.7516922432,0.5,83,,,,,0.314410744,2.7568059274,,,
2,1.5360816552,2.7414154449,0.5,84,,,,,0.2757534366,2.7465291291,,,
2,1.4974209216,2.7311515433,0.5,85,,,,,0.237092703,2.7362652275,,,
2,1.4584731749,2.7220371029,0.5,86,,,,,0.1981449563,2.7271507871,,,
2,1.418690679,2.7178714074,0.5,87,,,,,0.1583624604,2.7229850916,,,
2,1.3789252031,2.7135462566,0.5,88,,,,,0.1185969845,2.7186599408,,,
2,1.3395236817,2.7066527735,0.5,89,,,,,0.0791954631,2.7117664577,,,
2,1.2996879493,2.7030313886,0.5,90,,,,,0.0393597307,2.7081450728,,,
2,1.2600200347,2.6978877953,0.5,91,,,,,-0.0003081839,2.7030014795,,,
2,1.2201314327,2.6949046049,0.5,92,,,,,-0.0401967859,2.7000182891,,,
2,1.1808283087,2.687470599,0.5,93,,,,,-0.0794999099,2.6925842832,,,
2,1.1420816183,2.6775361144,0.5,94,,,,,-0.1182466003,2.6826497986,,,
2,1.1511191415,2.716501781,0.5,95,,,,,-0.1092090771,2.7216154652,,,
2,1.1113341205,2.7123602714,0.5,96,,,,,-0.1489940981,2.7174739556,,,
