"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","data_raw_preproc_1$modi_start","theta"
0,0,-0.179875193065769,0.107257450138182,-0.487144167929335,-0.341518335102672,-0.435071432431852,-0.121274973432588,0.300007903870341,-0.0132902228544209,NA,NA,NA,NA,NA,NA,-0.227697203216037,-0.0817736186965729,"True","L","2ndO",227,"null","[225]",0.172393996098032
0,0,-0.12720233710987,-0.0383369451762005,-0.0270460668500505,-0.153787263133711,-0.0638476502096187,-0.265904752017695,-0.128776874427568,0.319960741573743,NA,NA,NA,NA,NA,NA,-0.217507974799973,0.427735142451813,"True","f3","2ndO",217,"null","[197]",2.59141104512586
0,0,-0.0759183794735365,0.212718209897829,-0.537186851498239,0.0598607948682727,-0.400848591432645,0.234451389440468,0.309917768726932,0.0974106512935506,NA,NA,NA,NA,NA,NA,-0.224412927668735,0.114672356797087,"True","f2","2ndO",196,"null","[178]",-0.236199736908179
0,0,-0.174199454883436,0.0789196765362238,-0.38275711968387,-0.357054476220644,-0.300042720521245,-0.41329494279597,0.219252387171455,0.171494036872269,NA,NA,NA,NA,NA,NA,-0.119461672748303,-0.135985479800175,"True","L","2ndO",226,"null","[223]",0.42499699170761
0,0,-0.0424079702397754,0.257661511748758,-0.241398148356077,0.132433757363684,-0.30261870760914,0.344955361057598,0.190127849462948,-0.312455091425899,NA,NA,NA,NA,NA,NA,-0.400965734277061,0.267302687716772,"True","f1","2ndO",226,"null","[211]",-0.293994566846735
0,0,-0.123264057905677,0.150409021374918,-0.396316883311439,-0.383637837933143,-0.42085192840316,-0.187067728313459,0.255524374695926,0.0675072827223466,NA,NA,NA,NA,NA,NA,-0.152396573303648,-0.109899730184486,"True","L","2ndO",198,"null","[192]",0.312387723175334
0,0,-0.134144580658317,0.145647316950011,-0.422547810574179,-0.319739289734055,-0.587518586951703,-0.198495772974088,0.291014117451601,-0.150201643206896,NA,NA,NA,NA,NA,NA,-0.30790183245634,-0.113376336297691,"True","f2","f3",189,"null","[180]",0.176407710387765
0,0,-0.109912340127824,0.161017877973353,-0.419276334265742,-0.24379839695465,-0.541831966445494,-0.081853665309016,0.285672461441328,-0.0139532044489935,NA,NA,NA,NA,NA,NA,-0.221332104952062,-0.0697286774794926,"True","L","2ndO",200,"null","[195]",0.152599040567389
0,0,-0.15167922825245,0.239457661344903,-0.554954661766819,0.058683465080863,-0.516437873439394,0.268770753605153,0.296750010987743,0.0374729935276676,NA,NA,NA,NA,NA,NA,-0.225564682234009,0.106790614217154,"True","L","2ndO",200,"null","[193]",-0.221086053658499
0,0,-0.163687508618082,0.148005661907522,-0.445005089562569,-0.202374621805543,-0.506893881239496,0.00091475583424366,0.21668607593794,-0.286229058832567,NA,NA,NA,NA,NA,NA,-0.213239356541577,-0.0172730606168915,"True","L","2ndO",214,"null","[210]",0.0404133405351298
