[log] b_x0.2_rollback_0.csv 0.045 0.711111111111111subset's mean: -0.344219090315909 -0.59028683897712 -0.555049734801568  var: 0.0360300264748241 0.0490639156548511 0.0166629224267213
[log] b_x0.2_rollback_0.csv 0.045 0.711111111111111subset's mean: 0.131172041431744 -0.128575595764318 -0.0909745525928564  var: 0.00186378834518588 0.00608309355163621 0.00541767285601066
[log] b_x0.2_rollback_0.csv 0.0325 0.544444444444444subset's mean: -0.295086561058115 -0.586297992014963 -0.548830544274581  var: 0.0329188964436757 0.0340977755887219 0.0174314568711226
[log] b_x0.2_rollback_0.csv 0.0325 0.544444444444444subset's mean: 0.123994153820565 -0.124210803356072 -0.0831410809611514  var: 0.00128673757239603 0.00599590570116874 0.00527353055430681
[log] b_x0.2_rollback_0.csv 0.02 0.322222222222222subset's mean: -0.230353069997451 -0.423230149896182 -0.523731886186417  var: 0.0112463925580719 0.0813571211432167 0.00701411577375525
[log] b_x0.2_rollback_0.csv 0.02 0.322222222222222subset's mean: 0.131294623334302 -0.163165146541798 -0.101615218272545  var: 0.000733108846903291 0.00237942706225703 0.00733294690893017
[log] b_x0.2_rollback_0.csv 0.02 1subset's mean: -0.37085022432618 -0.581508352884217 -0.587914958744725  var: 0.104817776111962 0.0780717606435968 0.0449773702272846
[log] b_x0.2_rollback_0.csv 0.02 1subset's mean: 0.106368327279541 -0.12460183126589 -0.0809413734711649  var: 0.00853571982324756 0.0121418889230693 0.0111163775771728
[log] r_x2.0_rollback_100.csv 0.02 1subset's mean: -0.263378768719278 -0.429108923721903 -0.592368402444003  var: 0.0396801100746246 0.0151934848654347 0.0151792310871868
[log] r_x2.0_rollback_100.csv 0.02 1subset's mean: 0.12223464025987 -0.159272320844656 -0.032571863808427  var: 0.0122729877002181 0.0125403512041906 0.00522520014341748
[log] r_x2.0_rollback_100.csv 0.045 0.769230769230769subset's mean: -0.242551466510775 -0.406728452605901 -0.590012829573261  var: 0.0146046605809234 0.00923701147468828 0.00965931013668679
[log] r_x2.0_rollback_100.csv 0.045 0.769230769230769subset's mean: 0.143664351799995 -0.167873939123507 -0.0299102155378196  var: 0.00599602435461456 0.0116891306344167 0.00191029227519961
