"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped"
0,0,-0.848745699,0.0531688969999999,-0.454728404,-0.28772968,-0.450942189,0.0618882300000001,0.453702207,-0.00352393300000009,0.314387439,0.0611988299999999,0.030705504,0.158792681,0.088027717,-0.135680007,-0.195654218,-0.0380861560000001,TRUE,"f1","1stO",70,"null"
0,0,0.166274002080557,0.328444782157547,0.234284769172578,-0.0890610019784628,-0.338533180425466,-0.0919561091618301,0.445583598538893,-0.0978718780124997,0.803748158153678,0.15645805395444,0.520066222430756,0.254051904609439,0.577388436750037,-0.0404207833899255,0.293706501027115,0.0571730672650737,FALSE,"null","null",324,"null"
0,0,-0.343979644556479,0.0270822084399485,0.518018437028111,-0.0449572468366526,0.172714242425268,-0.221847049977652,0.353721797563386,0.239624208930894,0.835419495096097,0.162623213642679,0.551737560204646,0.260217064127701,0.609059773408564,-0.0342556237714357,0.325377838517113,0.0633382267135868,FALSE,"null","null",305,"null"
0,0,-0.750640578978975,0.240236509544897,-0.443032186847921,-0.132825143231202,-0.337075531830882,0.187475662036576,0.442799909672181,0.0905648080230618,0.409011367478664,0.079618375422417,0.125329431827083,0.177212226822865,0.18265164601091,-0.117260461330885,-0.10103028976279,-0.0196666109229518,TRUE,"L","1stO",63,"null"
0,0,-1.12902639390483,-0.449089202982272,-0.296925321702392,-0.25768020148842,-0.666763051042614,-0.225065424826373,0.470205926722652,-0.10006313707376,0.215342128489694,0.0419186159447001,-0.0683398070760454,0.139512466400498,-0.0110175933146228,-0.154960221956413,-0.294699527919586,-0.0573663712232897,FALSE,"null","null",318,"null"
0,0,-0.790519419018867,0.13684812442237,-0.228034940997283,-0.234375418892045,-0.344803767956057,0.0891047921215938,0.442631044569687,0.056470030070666,0.419761628352833,0.0817110270556586,0.136079692866327,0.179304877598046,0.193401907579226,-0.115167810121574,-0.09028002790728,-0.0175739595791869,FALSE,"null","null",305,"null"
0,0,0.551672790568966,0.301294523288346,0.272432980565071,0.034905356103596,0.188682165300568,-0.26716474262466,0.428734564221911,-0.136949248827271,0.969350706886171,0.188694336229847,0.685668771306599,0.286288185103456,0.742990985528534,-0.00818450189138414,0.459309049948961,0.089409346982225,FALSE,"null","null",303,"null"
0,0,-0.00437502338215875,0.337408884157185,-0.315978836592251,-0.228054948357229,-0.630053350372279,-0.0558730871752752,0.434803413743014,-0.00507527938978231,0.554439749667943,0.10792754345752,0.27075781530227,0.20552139422815,0.328080028510056,-0.0889512934818041,0.0443980931490533,0.00864255719229582,FALSE,"null","null",303,"null"
0,0,-0.365861902727891,0.167890353453043,-0.542806901665959,-0.0914595770239491,-0.553563799748863,-0.395900140153484,0.386234076314489,0.214161727281074,0.394433748630994,0.0767806882027844,0.110751813708313,0.174374538817601,0.168074026548577,-0.120098148746864,-0.115607907449586,-0.0225042977509104,FALSE,"null","null",301,"null"
0,0,-0.34794351478926,0.0721583283160467,-0.772349968405165,-0.207427531958358,-0.564845772534063,-0.457666011996053,0.443812943333883,-0.205383387778054,0.325197148443781,0.063303053924163,0.0415152136717495,0.160896905170606,0.0988374265999081,-0.133575783383134,-0.184844508172123,-0.0359819321366907,TRUE,"f1","1stO",60,"null"
0,0,-0.778048739499538,0.0406901979474535,-0.433642498438878,-0.350756546719179,-0.721675976853242,-0.282431640865992,0.456982837680873,-0.127462166862438,0.266204753445276,0.0518195622035947,-0.0174771823035853,0.149413412232443,0.0398450317485195,-0.145059275216149,-0.243836903005214,-0.0474654250887042,FALSE,"null","null",314,"null"
0,0,0.414046007835464,0.394845375789434,-0.21760172042731,-0.253231478226566,0.283501921709977,-0.211231587307229,0.442778229561365,0.0535973000861698,0.885012896155801,0.172277092087151,0.601330960959029,0.269870942643065,0.658653174659532,-0.0246017450794136,0.374971240455549,0.072992105596376,TRUE,"f2","1stO",59,"null"
0,0,-0.5848824223252,-0.0304760616837684,-0.390849784476402,-0.324770512965132,-0.760145163655816,0.207697193308389,0.43444072876881,0.143227434486538,0.353281353635682,0.068769940593333,0.06959941887575,0.166363791178512,0.126921631891881,-0.128108896512969,-0.156760303087684,-0.0305150449522068,TRUE,"f1","1stO",58,"null"
0,0,-0.607299046094231,0.013629136632208,-0.279294262623388,-0.244645171610399,-0.914081903383243,-0.227705709547481,0.34907865295672,0.335197899571318,0.330715372390843,0.0643772344013203,0.0470334360700163,0.161971084175566,0.104355650850763,-0.132501602816145,-0.179326284547195,-0.0349077526567843,FALSE,"null","null",292,"null"
0,0,-0.540487682717208,0.201008639998836,-0.425701751072558,-0.388843444585593,-0.650500263257622,-0.123579035732801,0.414920483808079,-0.153265654625945,0.350345405696179,0.0681984273693626,0.0666634706579751,0.165792277417305,0.12398568475684,-0.128680409943728,-0.159696250281365,-0.0310865598957856,FALSE,"null","null",292,"null"
0,0,-0.950245012695412,0.082890831956265,-0.460620905697107,-0.310522946539983,-0.729018450072135,-0.20460037325644,0.42709925476249,-0.0484123898654807,0.247137167605083,0.0481078555652631,-0.0365447667811176,0.145701706684842,0.0207774464104558,-0.148770981011943,-0.262904488970769,-0.0511771308973145,FALSE,"null","null",306,"null"
0,0,-0.647834876657745,0.164503509579309,-0.479066232839376,-0.442403029499067,-0.672840023466752,-0.164286819512893,0.434123262510184,-0.0811097235413637,0.292924485158922,0.0570208397227931,0.00924255006646397,0.154614690468535,0.066564763576581,-0.139857997422839,-0.217117171515877,-0.0422641466770966,TRUE,"L","1stO",56,"null"
0,0,-0.336653157561183,0.0963080813217966,-0.517954973869216,-0.413661675661187,-0.674019613566861,-0.0846516789582927,0.450580112529073,-0.037512218177126,0.366707078842835,0.0713833995699134,0.0830251437454065,0.168977250518089,0.140347358011494,-0.125495437302281,-0.143334577085935,-0.0279015863541051,FALSE,"null","null",305,"null"
0,0,-0.983516783406912,-0.0157569159199224,-0.412618768181743,-0.230201250860731,-0.735138906875464,-0.291381922545312,0.447475153923581,-0.173928932960556,0.216345214198563,0.0421138771547784,-0.0673367217884921,0.139707727486133,-0.0100145072523552,-0.154764959723642,-0.293696442231627,-0.057171110384443,TRUE,"f3","1stO",60,"null"
0,0,-0.984385218155089,-0.283995622180997,-0.250668220579583,-0.258172479319358,-0.623354663371052,-0.16796633306595,0.356124637380662,0.27207652163863,0.3052674353745,0.0594235251301499,0.0215855005101125,0.157017375124189,0.0789077141768123,-0.137455312207321,-0.204774221109772,-0.0398614613067767,FALSE,"null","null",308,"null"
0,0,-0.270590676836794,0.205184499242211,-0.394977244903076,-0.331253679858931,-0.574578825239157,-0.0281798422353333,0.406102335104437,0.184178721934583,0.490377858621534,0.0954572208768912,0.206695923941963,0.193051071234935,0.264018137925632,-0.101421615889105,-0.0196637977204932,-0.00382776578752483,FALSE,"null","null",295,"null"
0,0,-0.921256656881176,-0.100798488760875,-0.291075042908894,-0.330817523606614,-0.571822263549651,-0.112473104317506,0.46913381293616,-0.181006646519534,0.323025223205852,0.0628802657751444,0.0393432879284169,0.16047411584761,0.0966655024582884,-0.133998571008692,-0.187016432819147,-0.0364047209362265,TRUE,"L","1stO",54,"null"
0,0,0.304553128167566,0.326084784918563,0.273902080366181,-0.00774154432152476,-0.0195238219765881,-0.297581506898557,0.448427896631361,-0.138988058883042,0.875979983080267,0.17051874031116,0.592298047772634,0.268112591502433,0.649620261969671,-0.0263600967907839,0.365938326662037,0.0712337544004893,TRUE,"f1","1stO",62,"null"
