i,d,x,_,s,i,m
1
T,h,i,s, ,i,s, ,x,x
-1.1902,1.3458,0.097059,0.080028
-1.1902,1.3457,0.097133,0.080103
-1.1896,1.3457,0.097625,0.080602
-1.1881,1.3457,0.098895,0.08189
-1.1853,1.3455,0.10124,0.084268
-1.181,1.3454,0.1049,0.087979
-1.1749,1.3451,0.11005,0.09321
-1.1668,1.3448,0.11684,0.10009
-1.1568,1.3444,0.12534,0.10872
-1.1446,1.3439,0.1356,0.11912
-1.1304,1.3433,0.14761,0.1313
-1.1142,1.3426,0.16133,0.14522
-1.096,1.3419,0.1767,0.16081
-1.076,1.341,0.1936,0.17795
-1.0543,1.3401,0.2119,0.19652
-1.0312,1.3392,0.23145,0.21635
-1.0068,1.3382,0.25207,0.23727
-0.98133,1.3371,0.27358,0.25908
-0.95509,1.336,0.29575,0.28157
-0.92831,1.3349,0.31837,0.30451
-0.90126,1.3338,0.34122,0.32769
-0.87416,1.3327,0.36413,0.35096
-0.84697,1.3317,0.38712,0.37449
-0.81963,1.3307,0.41028,0.3985
-0.79209,1.33,0.43367,0.42319
-0.76429,1.3295,0.45734,0.44869
-0.73621,1.3292,0.48132,0.47514
-0.70781,1.3292,0.50565,0.50261
-0.67908,1.3295,0.53034,0.53115
-0.65001,1.3301,0.5554,0.56079
-0.62061,1.3309,0.58083,0.59152
-0.59087,1.332,0.60663,0.62333
-0.56082,1.3335,0.63277,0.65617
-0.53048,1.3351,0.65924,0.68996
-0.49986,1.337,0.68601,0.72464
-0.469,1.3391,0.71304,0.76009
-0.43794,1.3414,0.7403,0.79622
-0.40671,1.3438,0.76774,0.8329
-0.37535,1.3463,0.79533,0.86999
-0.3439,1.3489,0.82301,0.90737
-0.31241,1.3516,0.85074,0.9449
-0.28091,1.3542,0.87847,0.98243
-0.2494,1.3569,0.90614,1.0199
-0.21788,1.3596,0.93371,1.0573
-0.18635,1.3625,0.96114,1.0945
-0.15479,1.3654,0.9884,1.1315
-0.12321,1.3685,1.0155,1.1683
-0.091598,1.3716,1.0423,1.2049
