[log] r_x0.2_rollback_100.csv 0.07 0.75subset's mean: -0.127001891002858 -0.462253792530087 -0.459964228332804  var: 0.0055029668600316 0.00693877672103235 0.00830404218277071
[log] r_x0.2_rollback_100.csv 0.07 0.75subset's mean: 0.169173886389223 -0.189014925730324 -0.0238948486185043  var: 0.00146657177722464 0.0162288359344979 0.0163104336528859
[log] r_x0.2_rollback_120.csv 0.0575 0.734375subset's mean: -0.112920674954409 -0.470288099970507 -0.462015220432805  var: 0.00553460231207384 0.00557489321229275 0.00375694344881161
[log] r_x0.2_rollback_120.csv 0.0575 0.734375subset's mean: 0.168919634547509 -0.18841319329066 -0.0193202221032  var: 0.00100178401399413 0.0142140126550258 0.0117573781796042
[log] r_x0.2_rollback_140.csv 0.0575 0.784615384615385subset's mean: -0.0965433582591772 -0.442243555338398 -0.46545833287484  var: 0.00771801363081648 0.00460888062277961 0.00454832079043861
[log] r_x0.2_rollback_140.csv 0.0575 0.784615384615385subset's mean: 0.171881545453071 -0.204376849701431 -0.0186384207218684  var: 0.000917060545931073 0.0107789153766419 0.007586263819426
[log] r_x0.2_rollback_160.csv 0.05125 0.723076923076923subset's mean: -0.0904727851879979 -0.454712509427725 -0.463475273815814  var: 0.00557862252773125 0.00532567687605652 0.0046254635039552
[log] r_x0.2_rollback_160.csv 0.05125 0.723076923076923subset's mean: 0.170486516943776 -0.199091986036061 -0.0145453975484296  var: 0.00111407118189802 0.00931987659109347 0.0109083415977341
[log] r_x0.2_rollback_180.csv 0.0575 0.793650793650794subset's mean: -0.0901670702417961 -0.44696424160063 -0.484722884692187  var: 0.00531364033110336 0.00484974238426716 0.00456797866593223
[log] r_x0.2_rollback_180.csv 0.0575 0.793650793650794subset's mean: 0.174795119207894 -0.204350963421243 -0.00808685373344432  var: 0.000750701932161294 0.0126300324604165 0.0131022165747625
[log] r_x0.2_rollback_200.csv 0.0575 0.746031746031746subset's mean: -0.0877718182460767 -0.451024541582637 -0.478618791243803  var: 0.00590528536186864 0.00396573788405809 0.00411937504727854
[log] r_x0.2_rollback_200.csv 0.0575 0.746031746031746subset's mean: 0.170260157293015 -0.209556088542362 -0.0166667209723368  var: 0.000967954284979135 0.0103794284971088 0.012706398082228
[log] r_x0.2_rollback_20.csv 0.045 0.707692307692308subset's mean: -0.180698424070738 -0.482988575685163 -0.446421743701747  var: 0.00539512789980336 0.00395646955761028 0.00599425080103079
[log] r_x0.2_rollback_20.csv 0.045 0.707692307692308subset's mean: 0.162021238610229 -0.170499669578452 -0.0419523159697757  var: 0.00185135045032063 0.0161100965156576 0.00665701197961831
[log] r_x0.2_rollback_220.csv 0.0575 0.733333333333333subset's mean: -0.0862911728837484 -0.448327188802992 -0.466024532386903  var: 0.00553915375584527 0.00457262112443765 0.00394460200135726
[log] r_x0.2_rollback_220.csv 0.0575 0.733333333333333subset's mean: 0.17453638165407 -0.195886589300181 -0.0213265791247965  var: 0.000904343573911401 0.0117322756228429 0.0143033681922795
[log] r_x0.2_rollback_240.csv 0.07 0.75subset's mean: -0.0869952912298077 -0.447339188413858 -0.484029094494361  var: 0.00603844909929003 0.00454677519360761 0.00509118533848231
[log] r_x0.2_rollback_240.csv 0.07 0.75subset's mean: 0.175121177796221 -0.197710632527105 -0.010815502275341  var: 0.000941328313980078 0.0125701499003075 0.0127650246889881
[log] r_x0.2_rollback_40.csv 0.0575 0.738461538461539subset's mean: -0.184129806088153 -0.47332403679479 -0.422828753324706  var: 0.00470565514842302 0.00418093693265193 0.00591544728934556
[log] r_x0.2_rollback_40.csv 0.0575 0.738461538461539subset's mean: 0.165573334049714 -0.193163468059847 -0.023572483099806  var: 0.00267252648566241 0.010548225614703 0.0115731204938265
[log] r_x0.2_rollback_60.csv 0.07 0.796875subset's mean: -0.0864113417530296 -0.437456477952247 -0.420763989951802  var: 0.00391434981683084 0.00656564120044408 0.0053310831297333
[log] r_x0.2_rollback_60.csv 0.07 0.796875subset's mean: 0.177099175784297 -0.202158102280672 -0.0310164190017474  var: 0.000838472889409061 0.0127274729058525 0.0137188790989243
[log] r_x0.2_rollback_80.csv 0.07 0.78125subset's mean: -0.102442290536534 -0.454111884430995 -0.45528310182332  var: 0.00653889516312893 0.00684488596345488 0.00555259480115063
[log] r_x0.2_rollback_80.csv 0.07 0.78125subset's mean: 0.172029119048 -0.202115288358464 -0.0260962144241466  var: 0.000855423179583577 0.01535168364904 0.0151641143957731
[log] r_x2.0_rollback_100.csv 0.0825 0.736842105263158subset's mean: -0.207069139987116 -0.326378088196384 -0.550836650044035  var: 0.0120937271200122 0.0438464937904851 0.0196150874940609
[log] r_x2.0_rollback_100.csv 0.0825 0.736842105263158subset's mean: 0.134224675236793 -0.138483329174819 -0.0456110723861631  var: 0.0119923269287566 0.0192069612479013 0.0283194263862186
[log] r_x2.0_rollback_120.csv 0.095 0.788461538461538subset's mean: -0.225595861630528 -0.309026968390768 -0.534409620585087  var: 0.0082447501112419 0.049521975546301 0.00608594308960731
[log] r_x2.0_rollback_120.csv 0.095 0.788461538461538subset's mean: 0.111710966647145 -0.118853435594765 -0.00126366755343702  var: 0.0128762410402072 0.0229294853480787 0.0295920276294792
[log] r_x2.0_rollback_140.csv 0.095 0.792452830188679subset's mean: -0.21073768967718 -0.277350233233317 -0.507399484884269  var: 0.01799589188336 0.059155486040358 0.0276533040140827
[log] r_x2.0_rollback_140.csv 0.095 0.792452830188679subset's mean: 0.140321290919098 -0.149995928536848 -0.0360988149500247  var: 0.00673725430652418 0.0159917958049607 0.0309573036297581
