dcc_des dcc_l dcc_f2 dcc_f3 dcc_obs[-1] dcc_obs[-2] dcc_obs[-3] dcc_wall 
0.523128741911 0.476871258089 0.0 0.0 0.0 0.0 0.0 0.0
0.239238070017 0.760700336165 0.0 6.15938182876e-05 0.0 0.0 0.0 0.0
0.543029451524 0.456970548476 0.0 0.0 0.0 0.0 0.0 0.0
0.541668839121 0.458331160879 0.0 0.0 0.0 0.0 0.0 0.0
0.716746509483 0.282717130228 0.0 0.000536360289292 0.0 0.0 0.0 0.0
0.36436611854 0.627313729913 0.0 0.00832015154696 0.0 0.0 0.0 0.0
0.413074720497 0.534433598591 0.0 0.0524916809116 0.0 0.0 0.0 0.0
0.941935766402 0.0569265646066 0.0 0.00113766899177 0.0 0.0 0.0 0.0
0.992220988086 0.00754842586705 0.0 0.000230586046546 0.0 0.0 0.0 0.0
0.901606563366 0.0983092148794 0.0 8.42217542732e-05 0.0 0.0 0.0 0.0
0.961868947583 0.0369080386078 0.0 0.00122301380917 0.0 0.0 0.0 0.0
0.982092140402 0.0161526825284 0.0 0.00175517706989 0.0 0.0 0.0 0.0
0.981956739932 0.0163602290465 0.0 0.00168303102187 0.0 0.0 0.0 0.0
0.978288006501 0.0206098089148 0.0 0.00110218458458 0.0 0.0 0.0 0.0
0.965198925159 0.0333371159566 0.0 0.00146395888424 0.0 0.0 0.0 0.0
0.994781210189 0.00349631306391 0.0 0.00172247674691 0.0 0.0 0.0 0.0
0.994685691315 0.00367294524117 0.0 0.0016413634437 0.0 0.0 0.0 0.0
0.995819286524 0.00267879896581 0.0 0.00150191451058 0.0 0.0 0.0 0.0
0.996090257293 0.00246940475657 0.0 0.00144033795016 0.0 0.0 0.0 0.0
0.995969850754 0.00264707568133 0.0 0.00138307356496 0.0 0.0 0.0 0.0
0.996747504422 0.00197007275661 0.0 0.00128242282107 0.0 0.0 0.0 0.0
0.997189003389 0.00144072471222 0.0 0.00137027189922 0.0 0.0 0.0 0.0
0.997088042184 0.00171697643788 0.0 0.00119498137845 0.0 0.0 0.0 0.0
0.997260828731 0.00146871809424 0.0 0.00127045317475 0.0 0.0 0.0 0.0
0.981254846657 0.0170957967883 0.0 0.00164935655457 0.0 0.0 0.0 0.0
0.982199262724 0.0160478862891 0.0 0.0017528509864 0.0 0.0 0.0 0.0
0.937047354797 0.0615112287706 0.0 0.00144141643188 0.0 0.0 0.0 0.0
0.987023106703 0.0120391691862 0.0 0.000937724110338 0.0 0.0 0.0 0.0
0.988423702883 0.0104301575519 0.0 0.00114613956472 0.0 0.0 0.0 0.0
0.991299372209 0.00837530240859 0.0 0.00032532538254 0.0 0.0 0.0 0.0
0.999095237996 0.000550398807123 0.0 0.000354363196744 0.0 0.0 0.0 0.0
0.990672402793 0.00926563728265 0.0 6.19599241743e-05 0.0 0.0 0.0 0.0
0.990997144676 0.00895154481102 0.0 5.13105127799e-05 0.0 0.0 0.0 0.0
0.993553576956 0.00633229769206 0.0 0.000114125351681 0.0 0.0 0.0 0.0
0.994067599969 0.00588428765175 0.0 4.81123788667e-05 0.0 0.0 0.0 0.0
0.968129539961 0.0164599042519 0.0152469470181 0.000163608768636 0.0 0.0 0.0 0.0
0.932531089587 0.00978719223667 0.0575573034456 0.000124414730904 0.0 0.0 0.0 0.0
0.926246133367 0.0177570403434 0.0558894885378 0.000107337751843 0.0 0.0 0.0 0.0
0.888143565733 0.0213647910636 0.0904094817157 8.21614881367e-05 0.0 0.0 0.0 0.0
0.924709284472 0.0158295707227 0.0594054681921 4.75375124177e-05 0.0 8.13910112367e-06 0.0 0.0
0.871893607745 0.0199698579729 0.103316306327 0.0 0.0 0.00482022795576 0.0 0.0
0.701973233754 0.049575154655 0.175536186638 0.0 0.0 0.0729154249528 0.0 0.0
0.379393762695 0.0519696655168 0.285692581959 0.0 0.0 0.282943989829 0.0 0.0
0.0836163998197 0.0381454758487 0.147234572759 0.0 0.0 0.731003551572 0.0 0.0
0.0547503862977 0.0233850886597 0.0365385444013 0.0 0.0 0.885325980641 0.0 0.0
0.184176646868 0.00197259973918 0.0 0.0 0.0 0.813850753393 0.0 0.0
0.280091368458 0.028789661049 0.0 0.0 0.0 0.691118970493 0.0 0.0
0.438287853772 0.0347851470564 0.0 0.0 0.0 0.526926999171 0.0 0.0
0.254773818349 0.0177491900521 0.0 0.0 0.0 0.727476991598 0.0 0.0
0.200501240374 0.0118369889421 0.0 0.0 0.0 0.787661770684 0.0 0.0
0.200027111893 0.0138531913418 0.0 0.0 0.0 0.786119696765 0.0 0.0
0.269045743203 0.0170185351084 0.0 0.0 0.0 0.713935721689 0.0 0.0
0.464945736717 0.0251428648849 0.0 0.0 0.0 0.509911398398 0.0 0.0
0.683744636628 0.00913379681259 0.0 0.0 0.0 0.307121566559 0.0 0.0
0.825427262416 0.00724432566215 0.0 0.0 0.0 0.167328411922 0.0 0.0
0.912871889184 0.000698977366928 0.0 0.0 0.0 0.0864291334491 0.0 0.0
0.974186709143 0.00328259557809 0.0 0.0 0.0 0.0225306952794 0.0 0.0
0.635024907161 0.0165463182153 0.0 0.0 0.0 0.348428774623 0.0 0.0
0.923489232231 0.000326062350587 0.0 0.0 0.0 0.0761847054187 0.0 0.0
0.963537129623 0.000964499265427 0.0 0.0 0.0 0.0354983711121 0.0 0.0
0.903314799128 0.00681792885773 0.0 0.0 0.0 0.0898672720142 0.0 0.0
0.881591408213 0.00205073343454 0.0 0.0 0.0 0.116357858352 0.0 0.0
0.929603702963 0.0063092322736 0.0 0.0 0.0 0.0640870647634 0.0 0.0
0.974554712488 0.00347683382389 0.0 0.0 0.0 0.0219684536877 0.0 0.0
0.658335681061 0.0136635095914 0.0 0.0 0.0 0.328000809348 0.0 0.0
0.906402063496 0.00559070954949 0.0 0.0 0.0 0.0880072269546 0.0 0.0
0.952892262929 0.00288832066245 0.0 0.0 0.0 0.044219416409 0.0 0.0
0.985127371013 0.00559477518419 0.0 0.0 0.0 0.00927785380316 0.0 0.0
0.724628842734 0.00167670202876 0.0 0.0 0.0 0.273694455237 0.0 0.0
0.923259038686 0.00174657252781 0.0 0.0 0.0 0.0749943887861 0.0 0.0
0.960912380026 0.00889847718111 0.0 0.0 0.0 0.0301891427932 0.0 0.0
0.979799874781 0.0129728525752 0.0 0.0 0.0 0.00722727264353 0.0 0.0
0.889821382107 0.00316716318636 0.0 0.0 0.0 0.107011454707 0.0 0.0
0.933475419419 0.0 0.0 0.0 0.0 0.0665245805812 0.0 0.0
0.978704456082 0.00942698994861 0.0 0.0 0.0 0.0118685539693 0.0 0.0
0.773828678019 0.00391030225801 0.0 0.0 0.0 0.222261019723 0.0 0.0
0.934016703603 0.010001732319 0.0 0.0 0.0 0.0559815640779 0.0 0.0
0.789405659195 0.0117194505695 0.0 0.0 0.0 0.198874890235 0.0 0.0
0.912138569668 0.00925950720919 0.0 0.0 0.0 0.0786019231227 0.0 0.0
