"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
0,0,-0.066212477,0.180271498,-0.359410527,-0.220940641,-0.489220434,-0.04994594,0.302827233,-0.057016414,0.360511567,0.0311538770000002,0.088754394,0.158228812,0.114582859,-0.140657271,-0.157174314,-0.013582336,TRUE,"f1","1stO",70,"null","85","1","320","0.2","-0.118827233",-1.792983586,0
0,0,-0.0524323783242437,0.183657554395572,-0.432130517580557,-0.173899888153057,-0.482696240895603,0.0248992974506487,0.262763606998035,-0.194762050709521,0.531481278737891,0.0459283526556123,0.259724105969373,0.173003287571983,0.285552570821625,-0.125882794952118,0.0137953980531073,0.00119213996425185,TRUE,"f2","2ndO",212,"null","57","2","291","0.2","0.339724538",-1.639431335,0.0616000482582426
0,0,0.0717602354619938,0.196135906896508,-0.408718437049595,-0.201778444276273,-0.369244476405031,0.00851710344864506,0.202763395236391,0.263265893938183,0.623711125706721,0.0538984639397124,0.351953953395378,0.180973398455859,0.377782418456081,-0.117912684052338,0.106025245187413,0.00916225017479397,TRUE,"f3","1stO",55,"null","38","3","270","0.2","0.613801891",-2.043429334,0.293197441720657
0,0,0.206147708225258,0.17308396770425,-0.475967149726148,-0.0409243662605487,-0.286017132114264,0.0656887762848427,0.264804592120629,-0.130122767621831,0.604722345070227,0.0522575342429149,0.332965172259838,0.179332469178007,0.358793637025967,-0.119553612962358,0.0870364637999551,0.00752132106319651,TRUE,"L","1stO",63,"null","83","4","319","0.2","-0.096931583",-1.841707352,-0.428627464393501
0,0,-0.034592211409144,0.187698458655716,-0.483582161643939,-0.179332261693865,-0.434980528624904,0.021015021085869,0.308968772747763,-0.152507289802482,0.524892075151713,0.0453589416939598,0.25313490260021,0.172433876636197,0.278963367520005,-0.126452206802543,0.00720619398522721,0.000622727957564342,TRUE,"f1","2ndO",225,"null","71","5","306","0.2","0.103975032",-1.643771018,0.183152164547098
0,0,-0.0213173938577381,0.189473179951755,-0.500213383126255,-0.11878811493715,-0.423814287360578,0.0671326299615738,0.249247301886085,-0.125257646188606,0.535821976467164,0.0463034573000399,0.26406480340225,0.173378392481824,0.289893267870761,-0.125507689743305,0.0181360955818434,0.00156724425618092,TRUE,"f1","1stO",57,"null","52","7","286","0.2","0.390503973",-1.777988981,-0.204574377978552
0,0,0.0636275166758909,0.203217877836742,-0.481280684058895,-0.167760242858279,-0.390929152295129,0.0287033012565033,0.254711147441096,-0.249368643106396,0.590203804433359,0.051002903682835,0.318446631734535,0.1780778379458,0.344275096554438,-0.120808244168896,0.0725179238556137,0.00626669009406903,TRUE,"f2","f3",47,"null","40","8","274","0.2","0.547834581",-1.629614368,-0.108266828382752
0,0,0.159783309015936,0.184951374497475,-0.41242106466233,-0.153458759386473,-0.390267934778625,0.0464775711452522,0.291162643675887,-0.129241748310115,0.649452614748545,0.0561229339895345,0.37769544120233,0.183197868791012,0.403523906243134,-0.11568821374314,0.131766733695722,0.0113867210094131,TRUE,"f1","1stO",57,"null","55","9","286","0.2","0.362862937",-1.73515802,-0.0489440788455064
0,0,-0.0508558057994023,0.18542196494772,-0.449160363234476,-0.209821560304736,-0.44916197641734,0.00103521502807924,0.238912977161814,0.192146367541771,0.481319621937135,0.0415935955239847,0.209562450164833,0.168668530020536,0.235390914477002,-0.130217551778803,-0.0363662582534148,-0.00314261756863564,TRUE,"L","1stO",55,"null","53","10","288","0.2","0.348066249",-1.965677406,0.290450767931962
0,0,-0.0712167081210665,0.179701281506162,-0.473801291065087,-0.202999141240583,-0.496057841041285,0.00203636399195486,0.26692143391575,-0.2004350845301,0.521789160998209,0.0450908010440386,0.250031989150164,0.172165736574447,0.275860453302384,-0.126720346637182,0.00410328045446793,0.000354588909299818,TRUE,"f2","f3",126,"null","72","14","311","0.2","0.039891412",-1.653881093,-0.0160739043350315
0,0,0.133063694001626,0.192708004152431,-0.499892696257714,-0.152082066607644,-0.346248912730796,0.0235793690481301,0.226233070070541,-0.245593012094738,0.629425020449083,0.0543922344322265,0.35766784814342,0.181467169173321,0.383496312728706,-0.117418912713926,0.111739139424241,0.00965602207610451,TRUE,"f2","f3",51,"null","46","16","276","0.2","0.562019691",-1.615772115,-0.0489553196395675
0,0,0.0406683093077139,0.198884704026622,-0.473515060989631,-0.15959872910765,-0.409560193911891,0.0387341365144285,0.257995406885134,-0.0546359705768014,0.513362564154401,0.0443626103682572,0.241605391969105,0.171437545308876,0.267433856188035,-0.127448537905681,-0.00432331599726063,-0.000373602965062309,TRUE,"L","1stO",53,"null","43","17","277","0.2","0.524466144",-1.816136134,-0.0799225293851731
0,0,0.238179772063262,0.211223912349405,-0.454489016344745,-0.155543751328679,-0.282566175611439,0.0116813279365158,0.258293159581901,0.0757173395463302,0.680216512687892,0.0587814192648285,0.408459340341755,0.185856354054861,0.434287805121677,-0.113029729147184,0.16253063178228,0.0140452055269349,TRUE,"f1","1stO",56,"null","36","19","266","0.2","0.674671267",-1.895267375,0.116174323532417
0,0,0.130096173499931,0.190345603279997,-0.499783940911712,-0.0909886095173668,-0.383183559961887,0.0799634399204283,0.315208511065036,0.0945024433580232,0.584666838285268,0.0505244226072731,0.312909664826707,0.177599356985985,0.338738129781705,-0.121286725976016,0.0669809573833178,0.00578820933866039,TRUE,"f2","f3",83,"null","40","20","271","0.2","0.561268978",-1.963895888,-0.0621444927147975
0,0,0.0765545189729828,0.198293150922432,-0.351717895293748,-0.122156005761156,-0.367571305292691,-0.037872193595506,0.249626537786698,-0.235495888133571,0.575963258953965,0.0497722962824409,0.304206086332953,0.176847230598894,0.330034551044906,-0.122038851253478,0.0582773774266656,0.00503608313737464,TRUE,"L","1stO",57,"null","52","21","282","0.2","0.449544647",-1.63372872,-0.0744677291538183
0,0,0.161535842513217,0.191358032740012,-0.451560116196174,-0.160247616179643,-0.322032890081492,0.0269509559471525,0.260081706320737,-0.13763737013954,0.612932898741204,0.0529670553861508,0.341175726539046,0.180041990002664,0.367004190788174,-0.118844092767811,0.0952470175902076,0.00823084194016351,TRUE,"f1","2ndO",204,"null","63","22","299","0.2","0.206419854",-1.736727038,-0.0915896958378123
0,0,-0.194966775888265,0.141834622330271,-0.480442813202698,-0.197063222511056,-0.589111246461144,-0.011037508517327,0.251966583770075,-0.168564317219401,0.416545549960808,0.035996095593727,0.144788377936619,0.163071030423394,0.170616842553422,-0.135815051826124,-0.101140330469354,-0.00874011694334562,TRUE,"L","1stO",56,"null","68","23","308","0.2","0.091436373",-1.695055866,-0.0531362955998598
0,0,-0.24125784197135,0.161873065386366,-0.449697800042475,-0.143901313692892,-0.550975226760117,0.0450930410448492,0.246347961504312,-0.18385813545133,0.462758405178019,0.0399896140797951,0.191001231827351,0.167064548761609,0.216829696416476,-0.131821534480368,-0.054927475875486,-0.00474659886092938,TRUE,"f2","f3",96,"null","57","24","295","0.2","0.276973057",-1.681393112,-0.0605774470031653
0,0,0.106239218747954,0.19786311522584,-0.437873134013968,-0.15020877160537,-0.31557505518711,0.0343673155612148,0.25120651610401,-0.255472264040187,0.619089441393599,0.0534990776292483,0.347332268814535,0.180574012852594,0.373160733571683,-0.118312069746493,0.101403560909002,0.00876286448035429,TRUE,"f3","1stO",60,"null","69","25","308","0.2","0.080311233",-1.61642773,-0.0837154327347838
0,0,-0.0180590534178407,0.191488274366318,-0.483584943613287,-0.191467464906998,-0.412385875132464,0.0141337471027145,0.185771032687953,0.252670601210453,0.561865212329119,0.04855400302726,0.290108039045602,0.175628937524056,0.31593650393385,-0.123257144429101,0.0441793315959701,0.00381779039291926,TRUE,"f1","f3",65,"null","61","26","295","0.2","0.276153626",-2.028517665,0.331247850632231
0,0,-0.00823112877088468,0.196103862884571,-0.441656041440577,-0.200569080614767,-0.372575331854466,0.00856604053475767,0.282470885111835,0.142537561708366,0.58362594825559,0.0504344733159778,0.311868775888808,0.177509408232799,0.337697239780655,-0.1213766738375,0.0659400674138718,0.00569826107932169,TRUE,"f2","f3",51,"null","42","27","274","0.2","0.527318874",-1.948476484,0.150826944777309
0,0,-0.013124755127559,0.19112458815774,-0.466110546104165,-0.200569904992993,-0.476645886743023,0.00712889884825016,0.214765515859845,-0.275745950577299,0.511331246717007,0.0441870725509297,0.239574074752632,0.171262007238686,0.265402538536492,-0.127624074833264,-0.00635463342788247,-0.000549140145507403,TRUE,"L","1stO",53,"null","39","28","272","0.2","0.64005392",-1.575177609,-0.00428852239276083
0,0,0.0976956511863407,0.195112918425618,-0.424088439244291,-0.188965774256155,-0.423624565177475,0.0163420288350103,0.216630913527797,-0.27065212791371,0.608798769266712,0.0526098014921299,0.33704159658398,0.179684736320007,0.362870061864623,-0.119201346382406,0.0911128891818908,0.00787358844547172,TRUE,"L","1stO",59,"null","48","31","276","0.2","0.587373632",-1.57619066,0.0147098502097972
0,0,-0.0755356499380203,0.180350015055462,-0.470156558654559,-0.207477503324754,-0.500028496726458,-0.0047428003980513,0.270238296982934,-0.184226462317441,0.508708407311975,0.043960417919857,0.236951234268659,0.17103535250718,0.262779699030713,-0.127850729665783,-0.00897747301824415,-0.000775794972385763,TRUE,"f1","1stO",62,"null","52","32","286","0.2","0.410827882",-1.638147735,0.106273560736434
0,0,-0.284236147386754,0.139093036000332,-0.437096194044559,-0.178531835059049,-0.598627390955504,-0.0135617540512681,0.298274171229573,-0.208781636132422,0.414879753313111,0.03585214452913,0.143122580590831,0.162927079633763,0.168951045216509,-0.135959002862676,-0.102806127505771,-0.00888406775804281,TRUE,"f2","f3",99,"null","70","33","308","0.2","0.057288821",-1.636218397,0.0168633116411165
0,0,-0.00941285013184948,0.192329918216822,-0.461452122422206,-0.172763866579491,-0.326413025807567,0.0149801621469321,0.271630238319855,-0.0741864786721503,0.596426602585425,0.0515406514445464,0.324669429720889,0.178615586019892,0.350497894303015,-0.120270496364173,0.0787407214384788,0.00680443821117263,TRUE,"f2","f3",86,"null","79","34","316","0.2","-0.035946877",-1.793964823,-0.0662725202742484
