,,,,240,220,200,180,160,140,120,100,80,60,40,20
,,rollback,,60,80,100,120,140,160,180,200,220,240,260,280
r,0.2,mean,Whole(100%),0.001774918,0.004106779,0.000418256,0.001034581,0.006000786,0.019910236,0.031870156,0.056745366,0.056854671,0.080350852,0.194537082,0.198011175
r,0.2,var,Whole(100%),0.000881115,0.00045815,0.000681331,0.000142717,0.001802494,0.003601431,0.000314906,0.001982084,0.002665212,0.005835071,0.002712247,0.003426845
r,0.2,mean,0.7,0.011997185,0.010138115,0.015376519,0.010071165,0.031660561,0.045694136,0.037250505,0.072104053,0.05585752,0.075039717,0.216265944,0.207406649
r,0.2,var,0.7,0.000888725,0.000132667,0.000140705,0.000108791,0.001078526,0.001106026,0.001951674,0.002952881,0.004161601,0.004671369,0.000988741,0.000576416
r,0.2,mean,0.5,0.027422287,0.025956718,0.015909085,0.012172983,0.019268198,0.03570137,0.042889517,0.061162746,0.052253914,0.072642241,0.203612095,0.209465709
r,0.2,var,0.5,0.002837362,0.002628338,0.002702097,0.004620833,0.001576571,0.001181551,0.007185271,0.005893182,0.00630996,0.006095384,0.000708984,0.002397306
r,0.2,mean,0.3,0.027820674,0.022310169,0.008584713,0.008347397,0.012928594,0.015757473,0.037317581,0.041959199,0.023094994,0.064794803,0.198840486,0.198161888
r,0.2,var,0.3,0.002652196,0.006296028,0.005899153,0.007257281,0.005970394,0.006352964,0.00863294,0.007370801,0.008152747,0.007039643,0.002403531,0.003147211
r,2,mean,Whole(100%),0.005924929,0.026136714,0.031889617,0.015650767,0.020937868,0.027623738,0.010639157,0.045817818,0.082801214,0.092856878,0.137170959,0.142697855
r,2,var,,0.008470359,0.015172685,0.008003339,0.019537768,0.005911894,0.01700198,0.003797902,0.012052747,0.025406421,0.02340266,0.032943765,0.033666348
r,2,mean,0.7,0.013426834,0.042848107,0.024609902,0.009865223,0.032821563,0.041862123,0.00594716,0.019611472,0.056292354,0.054849725,0.087353524,0.081702841
r,2,var,,0.0076285,0.008163727,0.006407582,0.007848858,0.001509301,0.005880797,0.001082487,0.005119515,0.009500209,0.008678077,0.00998522,0.009922048
r,2,mean,0.5,0.025241552,0.050667086,0.024886931,0.039910474,0.011306534,0.006334659,0.023209336,0.02116315,0.020071525,0.011729336,0.024251696,0.043860494
r,2,var,,0.0004811,0.000640712,0.000622868,0.000375813,0.004708857,0.003519054,0.006425948,0.002485663,0.002575529,0.002482418,0.003986789,0.003873139
r,2,mean,0.3,0.039839428,0.047199528,0.013113367,0.013377758,0.009137816,0.006171214,0.028579758,0.028739867,0.035142931,0.04664625,0.045769927,0.040073199
r,2,var,,0.002243874,0.002527708,0.001608954,0.000540507,0.004549855,0.000188564,0.007864869,0.000612444,0.003809395,0.006236179,0.005330043,0.005948069
a,0.2,mean,Whole(100%),0.235588498,0.329065288,0.192546476,0.548670547,0.119637809,0.268050857,0.250227697,0.2704398,0.056925669,0.055411886,0.112453461,0.135318074
a,0.2,var,,0.135444191,0.027348573,0.130249862,0.0290995,0.16532902,0.549348142,0.431000133,0.440218919,0.340295475,0.359960664,0.370196745,0.374122277
a,0.2,mean,0.7,0.211034279,0.296699922,0.082344408,0.342807254,0.022588398,0.311384501,0.227902935,0.294937503,0.133546123,0.1275937,0.127022859,0.13343833
a,0.2,var,,0.047211031,0.044419047,0.029785806,0.054336203,0.129876239,0.399560687,0.514071554,0.599029088,0.060459631,0.061570077,0.060499827,0.061470629
a,0.2,mean,0.5,0.196024165,0.280957989,0.096060532,0.462740232,0.018827404,0.1328558,0.148254321,0.197357128,0.132998929,0.126117785,0.139092385,0.157953278
a,0.2,var,,0.060791539,0.017069113,0.003021201,0.037517607,0.069197181,0.209236653,0.474355959,0.495792508,0.068785755,0.069107484,0.065155385,0.066232312
a,0.2,mean,0.3,0.142922589,0.279957727,0.091726651,0.433329042,0.044980343,0.139918514,0.234747742,0.201849475,0.164633435,0.162892681,0.158749252,0.162572455
a,0.2,var,,0.057754913,0.007548566,0.001560346,0.033569568,0.016450787,0.080002091,0.076078964,0.089588797,0.05084748,0.052089887,0.044940144,0.047489412
