"rollback","rand_seed","modi_param","vari","modi_start","recog_time","version","l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","1stO.x","1stO.y","3rdO.x","3rdO.y","2ndO.x","2ndO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","data_raw_preproc_1$modi_start","new_l.x","new_l.y","new_f1.x","new_f1.y","new_f2.x","new_f2.y","new_f3.x","new_f3.y"
100,13,"b",2,210,304,2,0.022980803,-1.56379843,-0.207223260050901,-1.39851741353722,-0.538659822445739,-1.73842571806836,-0.569521958585096,-1.44434315619733,15.93,2.05,0.408,-1.85,-2.05,0.78,0.555528919,-1.528844885,0.286455066,-1.396182676,0.30610315,-1.695538573,0.037029297,-1.562876364,TRUE,"f1","1stO",60,"null","[210]",-0.385019197,0.28620157,-0.124744795,0.233941747,-0.410385588,-0.219893425,-0.49744523,0.0384911400000001
100,14,"b",2,212,309,2,-0.045885608,-1.664359813,-0.267599916729497,-1.50375773591433,-0.484798070562864,-1.83063004742104,-0.656590079734767,-1.55737563114868,16.23,2.05,0.338,-1.85,-2.05,0.83,0.405868298,-1.617866773,0.132069366,-1.495252971,0.162782164,-1.793676703,-0.111016769,-1.6710629,TRUE,"f1","2ndO",220,"null","[212]",-0.383885608,0.185640187,-0.211484937,0.167894283,-0.520989548,-0.265431654,-0.541055202,0.0260161259999998
100,16,"b",2,186,282,2,0.339099183,-1.648606812,0.144001743528829,-1.46550012460486,-0.174609105808724,-1.80185180420636,-0.247397882502346,-1.60609084534795,14.61,2.05,0.716,-1.85,-2.05,0.56,0.931135662,-1.570716954,0.653981948,-1.455887432,0.693113522,-1.75332435,0.415959809,-1.638494829,TRUE,"f1","1stO",63,"null","[186]",-0.376900817,0.201393188,0.144350144,0.269667868,-0.379184737,-0.241679201,-0.450346135,0.0427156009999998
100,17,"b",2,183,282,2,0.341408758,-1.849428904,0.184795374778833,-1.59146454718722,-0.0372467210715682,-2.11743330730255,-0.0676657515879054,-1.88209238069103,14.61,2.05,0.716,-1.85,-2.05,0.56,0.847272478,-1.78518909,0.570637963,-1.669114352,0.608431549,-1.966724239,0.331797033,-1.8506495,TRUE,"f2","1stO",59,"null","[183]",-0.374591242,0.000571096000000049,-0.184984424,0.188378342,-0.494790486,-0.234774677,-0.50892845,0.050542442
100,19,"b",2,176,274,2,0.440866054,-1.897129112,0.348753864735035,-1.59585535415037,-0.0245776466267614,-2.04390916896831,0.0392099763896208,-1.89612550315183,14.13,2.05,0.828,-1.85,-2.05,0.48,1.050429633,-1.912647919,0.794523764,-1.756084238,0.786888573,-2.055987062,0.530982704,-1.899423381,TRUE,"f1","1stO",58,"null","[176]",-0.387133946,-0.0471291119999999,0.038181917,0.265559371,-0.40009328,-0.187658004,-0.356430855,0.100036231
100,20,"b",2,180,278,2,0.400196248,-2.007083064,0.416167442267163,-1.69634481797137,-0.0950198922605127,-2.20486484748306,-0.0866984026069195,-1.92321920237673,14.37,2.05,0.772,-1.85,-2.05,0.52,0.89642989,-1.963515817,0.624498919,-1.836813226,0.650736741,-2.135663651,0.37880577,-2.008961059,TRUE,"L","2ndO",186,"null","[180]",-0.371803752,-0.157083064,-0.120753506,0.247851519,-0.517512172,-0.139195016,-0.436109136,0.132040633
100,22,"b",2,203,301,2,0.096135004,-1.766153424,-0.151342980487335,-1.5940537835508,-0.362259030413851,-1.92303207175732,-0.410186068669912,-1.77501085372298,15.75,2.05,0.45,-1.85,-2.05,0.75,0.608132562,-1.669477315,0.325004776,-1.570287311,0.380667606,-1.865078168,0.09753982,-1.765888164,TRUE,"f1","2ndO",211,"null","[203]",-0.353864996,0.083846576,-0.118511901,0.238000476,-0.51585951,-0.194542478,-0.492421305,-0.0267274089999998
100,24,"b",2,197,296,2,0.153448042,-1.695269962,0.0720824321407564,-1.44653867051624,-0.278466112106465,-1.92243713760665,-0.332536061678842,-1.67862477657337,15.45,2.05,0.52,-1.85,-2.05,0.7,0.586222451,-1.655463418,0.313767942,-1.529890568,0.341245919,-1.828629519,0.06879141,-1.70305667,TRUE,"L","2ndO",203,"null","[197]",-0.366551958,0.154730038,-0.282831279,0.159032053,-0.484430019,-0.213440072,-0.615413992,0.055735621
100,25,"b",2,209,307,2,-0.00481585,-1.640095177,0.00262580076892854,-1.36126029723323,-0.493390313333037,-1.94707438483467,-0.494463134919712,-1.63904656724003,16.11,2.05,0.366,-1.85,-2.05,0.81,0.53971064,-1.541551326,0.257343881,-1.440215185,0.310767587,-1.735420042,0.028400829,-1.6340839,TRUE,"f3","1stO",60,"null","[209]",-0.37081585,0.209904823,-0.122468719,0.238891721,-0.430837567,-0.227826807,-0.466600283,0.0165369370000001
100,26,"b",2,201,298,2,0.132993132,-1.999671936,0.00201614653001869,-1.75327443267169,-0.41709065552297,-2.19137504610991,-0.299187797210092,-1.85236617162137,15.57,2.05,0.492,-1.85,-2.05,0.72,0.570286511,-2.10531996,0.352970429,-1.898501874,0.282518754,-2.190112165,0.065202672,-1.983294079,TRUE,"L","2ndO",208,"null","[201]",-0.359006868,-0.149671936,-0.133553372,0.253079559,-0.578509226,-0.0703856460000001,-0.557447184,0.193466485
100,27,"b",2,182,280,2,0.367953268,-1.939897131,0.318276754995857,-1.66043217158463,-0.0948169092611499,-2.05435257230569,-0.237524815415615,-1.88135197162166,14.49,2.05,0.744,-1.85,-2.05,0.54,0.85230005,-1.97183772,0.602925939,-1.80506676,0.583185107,-2.104416555,0.333810996,-1.937645595,TRUE,"L","2ndO",185,"null","[182]",-0.376046732,-0.0898971309999999,-0.151853225,0.235385715,-0.507366966,-0.181449183,-0.486914831,0.107366956
100,28,"b",2,179,276,2,0.431538378,-1.598125918,0.281519409607783,-1.3378453968558,-0.0278921903547822,-1.81543976983363,-0.0240265395884175,-1.57150313341535,14.25,2.05,0.8,-1.85,-2.05,0.5,0.929560109,-1.558107013,0.658572608,-1.429398915,0.682601876,-1.728435024,0.411614375,-1.599726926,TRUE,"L","1stO",54,"null","[179]",-0.368461622,0.251874082,-0.160542394,0.211885907,-0.45732052,-0.243626829,-0.538333805,0.04002361
100,31,"b",2,188,285,2,0.304140756,-1.597984346,0.254101368341297,-1.31966693917799,-0.193639000161903,-1.84367754594321,-0.196839543772568,-1.47511167601316,14.79,2.05,0.674,-1.85,-2.05,0.59,0.940033617,-1.572911535,0.674517915,-1.433264079,0.686337521,-1.73303115,0.420821819,-1.593383694,TRUE,"f1","1stO",62,"null","[188]",-0.369859244,0.252015654,0.281741626,0.199504331,-0.357424795,-0.229406243,-0.478757561,0.048987278
100,32,"b",2,192,290,2,0.238280956,-1.64006326,0.0273315081901698,-1.43227162107162,-0.163207707719071,-1.77958474771931,-0.230682401372327,-1.63456648810255,15.09,2.05,0.604,-1.85,-2.05,0.64,0.661341853,-1.64584501,0.40360827,-1.492308694,0.399508711,-1.792280682,0.141775129,-1.638744366,TRUE,"L","2ndO",199,"null","[192]",-0.365719044,0.20993674,-0.252455446,0.157036236,-0.548939066,-0.187961582,-0.625447525,0.060520253
100,33,"b",2,210,307,2,-0.032266204,-1.644256496,0.0371849470990083,-1.35184834845726,-0.467046250131613,-1.87039361567469,-0.4722798053443,-1.67091214830025,16.11,2.05,0.366,-1.85,-2.05,0.81,0.370770368,-1.62794557,0.105109698,-1.488574094,0.117240794,-1.788328721,-0.148419876,-1.648957245,TRUE,"L","2ndO",211,"null","[210]",-0.398266204,0.205743504,-0.350025999,0.152252078,-0.373025173,-0.220030951,-0.604041395,-0.010704147
100,34,"b",2,219,317,2,-0.159407537,-1.813915115,-0.35715304427448,-1.62596821330342,-0.665489991547432,-2.03577848139754,-0.600135557582474,-1.71671125519543,16.71,2.05,0.226,-1.85,-2.05,0.91,0.401827881,-1.728372573,0.122384799,-1.619232463,0.167588232,-1.915807326,-0.111854851,-1.806667216,TRUE,"f1","2ndO",224,"null","[219]",-0.385407537,0.0360848850000002,0.00670818499999998,0.268840261,-0.424110531,-0.256281563,-0.386718231,0.034772909
100,35,"b",2,208,305,2,-0.008366193,-1.779076999,-0.194900466122951,-1.56551667857371,-0.524582175622008,-1.88718912467678,-0.379599458491721,-1.75967849304725,15.99,2.05,0.394,-1.85,-2.05,0.79,0.502363044,-1.84505327,0.263913843,-1.663003885,0.225479052,-1.960531643,-0.012970149,-1.778482258,TRUE,"f1","2ndO",217,"null","[208]",-0.402366193,0.0709230010000002,-0.07984997,0.256741881,-0.463690763,-0.144221415,-0.432418066,0.106641757
100,36,"b",2,225,324,2,-0.236121224,-1.765645057,-0.34334829994197,-1.52781161542247,-0.678618110791857,-1.99026685162966,-0.70732649019737,-1.63631827389556,17.13,2.05,0.128,-1.85,-2.05,0.98,0.312386295,-1.661615939,0.029178442,-1.562654775,0.085079486,-1.857400552,-0.198128367,-1.758439388,TRUE,"L","2ndO",228,"null","[225]",-0.364121224,0.0843549430000001,-0.047185172,0.264627385,-0.434771214,-0.214441821,-0.45124597,-0.00250359099999997
100,38,"b",2,203,301,2,0.080428024,-1.633786701,0.107956086688894,-1.3484030822202,-0.372784288497659,-1.73452010122012,-0.423444726330649,-1.61701473645162,15.75,2.05,0.45,-1.85,-2.05,0.75,0.56205325,-1.520027882,0.274722198,-1.433767425,0.343683976,-1.725733644,0.056352924,-1.639473187,TRUE,"L","2ndO",207,"null","[203]",-0.369571976,0.216213299,-0.035762863,0.265378368,-0.424690388,-0.269942927,-0.47460361,0.00135894199999997
100,39,"b",2,188,286,2,0.282509635,-1.854750829,0.186899994386618,-1.61163593765962,-0.178268148253594,-2.14921307434732,-0.238431092297493,-1.80283744169053,14.85,2.05,0.66,-1.85,-2.05,0.6,0.85055341,-1.830542933,0.584594752,-1.691740945,0.597368033,-1.991468894,0.331409374,-1.852666905,TRUE,"f1","2ndO",195,"null","[188]",-0.377490365,-0.00475082900000001,-0.017753228,0.264166685,-0.466646528,-0.189581127,-0.417067092,0.087587944
100,40,"b",2,186,283,2,0.298510666,-1.729193047,0.0496004906038983,-1.56336169428073,-0.2237528194197,-1.97308964595541,-0.28454105656728,-1.76566268066196,14.67,2.05,0.702,-1.85,-2.05,0.57,0.762223022,-1.761375458,0.513424112,-1.593747588,0.492653574,-1.893027699,0.243854664,-1.725399829,TRUE,"L","2ndO",194,"null","[186]",-0.403489334,0.120806953,-0.157525721,0.231339935,-0.496821071,-0.175043488,-0.553601779,0.100582673
100,41,"b",2,188,284,2,0.299016259,-1.691545574,0.0198970547032568,-1.53741627609167,-0.0366889865845835,-1.92736061173346,-0.0760137106207419,-1.61243202250192,14.73,2.05,0.688,-1.85,-2.05,0.58,0.781648965,-1.702183564,0.525209867,-1.546494807,0.518598997,-1.846421959,0.262159899,-1.690733201,TRUE,"L","2ndO",194,"null","[188]",-0.388983741,0.158454426,-0.104026966,0.251638874,-0.472386567,-0.20175046,-0.550015187,0.0802995360000001
100,43,"b",2,184,282,2,0.318381125,-1.672282807,0.187827092541181,-1.41840215696729,-0.139596143765918,-1.85077031355052,-0.13879229298441,-1.69577161493155,14.61,2.05,0.716,-1.85,-2.05,0.56,0.780884887,-1.625564886,0.50731772,-1.502434853,0.537467567,-1.800915986,0.2639004,-1.677785954,TRUE,"f1","2ndO",189,"null","[184]",-0.397618875,0.177717193,-0.199849436,0.179636794,-0.454820953,-0.257332617,-0.573128218,0.02032243
100,47,"b",2,206,303,2,0.02196933,-1.673498983,0.245277153392026,-1.51433370050114,-0.567887622703089,-1.77364575022868,-0.357882304108667,-1.61479502627041,15.87,2.05,0.422,-1.85,-2.05,0.77,0.503645781,-1.704236452,0.253918137,-1.537995351,0.234812942,-1.837386385,-0.014914702,-1.671145284,TRUE,"f2","1stO",66,"null","[206]",-0.40003067,0.176501017,-0.194962866,0.193648248,-0.439315413,-0.208924279,-0.564888594,0.06811155
100,49,"b",2,219,317,2,-0.156006739,-1.82117956,-0.242096666584118,-1.51020174639215,-0.678307286339997,-1.92255457415643,-0.668794766377081,-1.77400684723882,16.71,2.05,0.226,-1.85,-2.05,0.91,0.386785654,-1.793356474,0.119639891,-1.65685321,0.134997478,-1.95645986,-0.132148285,-1.819956595,TRUE,"L","2ndO",227,"null","[219]",-0.382006739,0.0288204400000001,-0.074445195,0.256380164,-0.463857297,-0.190141565,-0.491447501,0.0902948190000001
100,50,"b",2,191,289,2,0.223619405,-2.020957922,0.0741444328125538,-1.80198483510967,-0.199725575916258,-2.28846223006132,-0.318757194191092,-2.00484586856366,15.03,2.05,0.618,-1.85,-2.05,0.63,0.749630449,-2.092611212,0.512446317,-1.908916662,0.471954237,-2.206171421,0.234770105,-2.022476871,TRUE,"f2","1stO",61,"null","[191]",-0.394380595,-0.170957922,-0.05121212,0.259630504,-0.513188881,-0.100128922,-0.43296007,0.136006063
100,52,"b",2,203,298,2,0.112592602,-1.565204928,0.148437216943413,-1.30526192676203,-0.323676882712307,-1.70042933895054,-0.437259399472497,-1.63637136083571,15.57,2.05,0.492,-1.85,-2.05,0.72,0.597191201,-1.708813342,0.390711155,-1.491176051,0.305471755,-1.778811662,0.098991709,-1.56117437,TRUE,"L","2ndO",210,"null","[203]",-0.379407398,0.284795072,-0.162904811,0.249083309,-0.399167139,-0.0283796940000001,-0.463341016,-0.0201840609999999
100,57,"b",2,187,284,2,0.327007965,-2.091000713,0.36205854450511,-1.8262520678824,-0.150955977417675,-2.21241735596732,-0.13797188393294,-2.0202616937719,14.73,2.05,0.688,-1.85,-2.05,0.58,0.874405591,-2.169973337,0.638678879,-1.984412249,0.595841619,-2.281338114,0.360114907,-2.095777025,TRUE,"L","2ndO",191,"null","[187]",-0.360992035,-0.241000713,-0.047314705,0.260825212,-0.491125866,-0.103801963,-0.370451677,0.14008531
