[log] a_x0.2_rollback_0.csv 0.18 0.745098039215686subset's mean: -0.173259203310262 -0.312899998086785 -0.473665839831455  var: 0.0669483306621293 0.103014483084584 0.0429734712845118
[log] a_x0.2_rollback_0.csv 0.18 0.745098039215686subset's mean: 0.0374205514482984 0.897369777179557 -0.0552462309435237  var: 0.0244625997632075 1.46503911492494 0.0091105483746498
[log] a_x0.2_rollback_100.csv 0.13 0.703125subset's mean: -0.448440977067307 -0.0740321259085228 -0.346283653390642  var: 0.665861033037943 0.203844265144574 0.162085281233756
[log] a_x0.2_rollback_100.csv 0.13 0.703125subset's mean: 0.143548408099623 -0.21182913111016 -0.0141155491740467  var: 0.0126548607169525 0.006624221929383 0.0124777363510919
[log] a_x0.2_rollback_120.csv 0.205 0.733333333333333subset's mean: -0.369789818731008 -0.0641916876466604 -0.280051963028462  var: 0.580827369553963 0.25511366289249 0.215265465600819
[log] a_x0.2_rollback_120.csv 0.205 0.733333333333333subset's mean: 0.152813207337647 -0.185813903812005 -0.0319600159701542  var: 0.0103950654394401 0.0104954347823703 0.0142637044209411
[log] a_x0.2_rollback_140.csv 0.23 0.779661016949153subset's mean: -0.428380796501013 -0.0980872353210752 -0.375763365333682  var: 0.413064744552216 0.205774214664753 0.188546306153272
[log] a_x0.2_rollback_140.csv 0.23 0.779661016949153subset's mean: 0.215951445824902 -0.166033637178411 -0.03791857945954  var: 0.224092683992001 0.0136412005088581 0.0148103063001468
[log] a_x0.2_rollback_160.csv 0.18 0.758620689655172subset's mean: -0.150800068395684 -0.273501939857658 -0.369050920171099  var: 0.196811751760974 0.199689165449204 0.0924671900583509
[log] a_x0.2_rollback_160.csv 0.18 0.758620689655172subset's mean: 0.035007469691754 0.622968716008542 -0.041873263583457  var: 0.0226379869385492 1.23666581407061 0.00856242499063892
[log] a_x0.2_rollback_180.csv 0.23 0.785714285714286subset's mean: 0.156689863604054 -0.0355475738757796 0.311406414365231  var: 0.0949148849961872 0.912962937058344 0.0667670555719239
[log] a_x0.2_rollback_180.csv 0.23 0.785714285714286subset's mean: -0.0555871167316457 -0.819339542216256 -0.0622443921838994  var: 0.0710490229473656 1.98050468214545 0.0403120737860398
[log] a_x0.2_rollback_20.csv 0.03 0.738461538461539subset's mean: -0.179711834128827 -0.487932422388899 -0.460642613932241  var: 0.00792120260706428 0.00356933337323599 0.00471850195495641
[log] a_x0.2_rollback_20.csv 0.03 0.738461538461539subset's mean: 0.170702776804786 -0.168264727700363 0.00679022461011977  var: 0.00730345083702529 0.0119116717566689 0.0115862363482471
[log] a_x0.2_rollback_200.csv 0.23 0.793103448275862subset's mean: -0.223504680041505 -0.513698507238715 -0.296071124825114  var: 0.0960179921125525 0.238460454887116 0.0882579866866866
[log] a_x0.2_rollback_200.csv 0.23 0.793103448275862subset's mean: -0.0278174253785328 1.00812448413906 -0.181249626585246  var: 0.0309548277694078 2.15118699899227 0.0180556961743717
[log] a_x0.2_rollback_220.csv 0.23 0.759259259259259subset's mean: 0.0881087583747099 1.50336380342197 0.0452614928984018  var: 0.0427013307453136 1.04758719687617 0.0565787040949007
[log] a_x0.2_rollback_220.csv 0.23 0.759259259259259subset's mean: 0.177840037893053 -0.130477421864854 0.391920570223765  var: 0.0616799977331353 0.308833757749277 0.0481912097635282
[log] a_x0.2_rollback_240.csv 0.13 0.722222222222222subset's mean: -0.0569905610275738 0.209334582249509 -0.298283419500991  var: 0.0538643251267877 0.799901243199272 0.0158227755087584
[log] a_x0.2_rollback_240.csv 0.13 0.722222222222222subset's mean: 0.213537188031696 0.463761516378664 0.305008017908345  var: 0.0698243709807999 0.424974017973841 0.0695911641305692
[log] a_x0.2_rollback_40.csv 0.055 0.784615384615385subset's mean: -0.189441974021455 -0.541304229858793 -0.501381298463014  var: 0.00880484281368885 0.0091748140766555 0.0113164317888348
[log] a_x0.2_rollback_40.csv 0.055 0.784615384615385subset's mean: 0.163408347062098 -0.200235900497982 0.00899336210847425  var: 0.00774243493372167 0.00329247759423804 0.00531249106356464
[log] a_x0.2_rollback_60.csv 0.0425 0.769230769230769subset's mean: -0.249532045096567 -0.599639821264016 -0.615866994236457  var: 0.00840855210028417 0.00422252734048481 0.0200006794289533
[log] a_x0.2_rollback_60.csv 0.0425 0.769230769230769subset's mean: 0.139707431279084 -0.231222652076475 0.0069227713577737  var: 0.00538463690153065 0.00138820556843454 0.00480427508690114
[log] a_x0.2_rollback_80.csv 0.055 0.769230769230769subset's mean: -0.272081665792908 -0.58798602192759 -0.622875461215485  var: 0.00905890663363461 0.00634337196434568 0.0203536016788413
[log] a_x0.2_rollback_80.csv 0.055 0.769230769230769subset's mean: 0.127246426363631 -0.205865332017426 -0.00269498530152714  var: 0.00702179823502398 0.00632651433988895 0.00517566076066371
[log] a_x2.0_rollback_0.csv 0.014375 0.734375subset's mean: -0.0975770786586741 -0.497077255344108 -0.374802358206681  var: 0.00781499264355713 0.00185559220628043 0.000871892761037312
[log] a_x2.0_rollback_0.csv 0.014375 0.734375subset's mean: 0.184917786393968 -0.194959346049748 0.0214739019243036  var: 0.000873342889943365 0.000497784100029586 0.000111682867552984
[log] a_x2.0_rollback_100.csv 0.0175 0.796875subset's mean: -0.131978997364823 -0.475522117471871 -0.39912765351362  var: 0.00624103340746069 0.00384085307404955 0.00368994480324484
[log] a_x2.0_rollback_100.csv 0.0175 0.796875subset's mean: 0.172203127727742 -0.173599496178078 -0.0146919385816889  var: 0.00100630668064077 0.00526557558837002 0.00626340595451704
