[log] 3rd_pure.csv 0.02 1subset's mean: -0.168218188846195 -0.489612870914196 -0.445843658290367  var: 0.01853786087722 0.00667867339462542 0.00888210445510909
[log] 3rd_pure.csv 0.02 1subset's mean: 0.143774333390641 -0.14647281328088 -0.0227655600760776  var: 0.00700690788559315 0.00931420003615491 0.0102746999215498
[log] a_x0.2_rollback_0.csv 0.02 1subset's mean: -0.309141546820237 -0.48925365817635 -0.37499019685614  var: 0.283090644870654 0.628359874049419 0.107642241776408
[log] a_x0.2_rollback_0.csv 0.02 1subset's mean: 0.140607951252467 0.905717016458574 0.0979297977700473  var: 0.274572302895711 1.81511431564049 0.376430504269748
[log] a_x0.2_rollback_100.csv 0.02 1subset's mean: -0.578547975973202 -0.0684261577456259 -0.292483816860233  var: 0.6760004343275 0.219453240898367 0.193946059220472
[log] a_x0.2_rollback_100.csv 0.02 1subset's mean: 0.164227040228629 -0.194605120985764 -0.0224335526726726  var: 0.0760412127556892 0.0120908312041885 0.0147420331706988
[log] a_x0.2_rollback_120.csv 0.02 1subset's mean: -0.481906343375526 -0.0528641455974876 -0.274145711264062  var: 0.687621673316917 0.250416805586244 0.223391793116357
[log] a_x0.2_rollback_120.csv 0.02 1subset's mean: 0.321622385292706 -0.179066362971745 -0.0403693622019223  var: 0.423285992611921 0.0115509166614895 0.0154684449742317
[log] a_x0.2_rollback_140.csv 0.02 1subset's mean: -0.504569783134691 -0.0904875958556496 -0.355653086250786  var: 0.560632773102027 0.200704511742997 0.200217313499148
[log] a_x0.2_rollback_140.csv 0.02 1subset's mean: 0.324072025399033 -0.123842798002294 0.01991138294533  var: 0.748654308803582 0.103870756056408 0.355648218701077
[log] a_x0.2_rollback_160.csv 0.02 1subset's mean: -0.230477657755192 -0.260639859983388 -0.28208133187539  var: 0.36010895484422 0.471110667529594 0.204798070475927
[log] a_x0.2_rollback_160.csv 0.02 1subset's mean: 0.0504680709666992 0.501064297962733 0.0305516505986026  var: 0.12827854100957 2.12915500174965 0.344865266677506
[log] a_x0.2_rollback_180.csv 0.02 1subset's mean: 0.17873468901279 0.0561461653098786 0.203762052027402  var: 0.286942713757223 1.26044685505293 0.156362015315815
[log] a_x0.2_rollback_180.csv 0.02 1subset's mean: -0.110422222048081 -0.719448356558807 -0.270602607535626  var: 0.24572889021144 2.12774922902081 0.484124568799715
[log] a_x0.2_rollback_20.csv 0.02 1subset's mean: -0.174773917418479 -0.494813464116109 -0.463737354421549  var: 0.0171931965300253 0.00659933230765988 0.00936187151701451
[log] a_x0.2_rollback_20.csv 0.02 1subset's mean: 0.156617991536087 -0.150636391123618 -0.0180765007123408  var: 0.0113879092399964 0.0131563867622826 0.0141045898005484
[log] a_x0.2_rollback_200.csv 0.02 1subset's mean: -0.243886949386419 -0.51165004013032 -0.332213424768563  var: 0.251915193694912 0.693330319445337 0.190023388981793
[log] a_x0.2_rollback_200.csv 0.02 1subset's mean: -0.0405438715428498 0.737046932110265 -0.0325599667702363  var: 0.1481084036366 2.46607606997136 0.402990732411094
[log] a_x0.2_rollback_220.csv 0.02 1subset's mean: 0.0154691633957524 0.898670524908474 0.137094481792052  var: 0.304602286331532 2.03926053940945 0.312848133491618
[log] a_x0.2_rollback_220.csv 0.02 1subset's mean: 0.194569517914386 0.108595792876779 0.265599955116859  var: 0.25768462254556 1.11706798587547 0.128570140176367
[log] a_x0.2_rollback_240.csv 0.02 1subset's mean: -0.0959831334996081 0.337193296835531 0.0853254159584217  var: 0.151941964299814 1.29110079085968 0.65832592441484
[log] a_x0.2_rollback_240.csv 0.02 1subset's mean: 0.240934573477678 0.462800480637842 0.593042149805183  var: 0.240732200016619 1.08546670846046 0.612437964287697
[log] a_x0.2_rollback_40.csv 0.02 1subset's mean: -0.196792036530306 -0.559168338740708 -0.503262337714493  var: 0.0214757735266565 0.0154675685587939 0.0174188640578549
[log] a_x0.2_rollback_40.csv 0.02 1subset's mean: 0.145442042990351 -0.16092958741874 -0.0174382780051767  var: 0.0126500074339053 0.0127866024650444 0.0105036558274739
[log] a_x0.2_rollback_60.csv 0.02 1subset's mean: -0.263380628076739 -0.580415095141807 -0.618683426294529  var: 0.0359190596568178 0.0156478009381673 0.0275018614730847
[log] a_x0.2_rollback_60.csv 0.02 1subset's mean: 0.109360305221588 -0.168631515358248 -0.00715163705713867  var: 0.0128895042645825 0.0144660527157518 0.0109751485106808
[log] a_x0.2_rollback_80.csv 0.02 1subset's mean: -0.308936044706778 -0.585072421277572 -0.671100724238789  var: 0.0539091348133765 0.0158336682937625 0.0940304858792024
[log] a_x0.2_rollback_80.csv 0.02 1subset's mean: 0.0836826528214974 -0.169785756027865 -0.0436976754766517  var: 0.0230234099745633 0.0155142858711531 0.0196154795988573
[log] a_x2.0_rollback_0.csv 0.02 1subset's mean: -0.0767230694619002 -0.488928963688066 -0.37763721646434  var: 0.0181372363583897 0.00342718529588831 0.00520241430187756
[log] a_x2.0_rollback_0.csv 0.02 1subset's mean: 0.182964098321289 -0.1564947235949 0.00167738239579851  var: 0.000852281071610511 0.00500964099695294 0.00465995108188948
[log] a_x2.0_rollback_100.csv 0.02 1subset's mean: -0.107400025919554 -0.48104805186666 -0.426448391783394  var: 0.0161358279896295 0.00386985015045749 0.00747301045394342
[log] a_x2.0_rollback_100.csv 0.02 1subset's mean: 0.174890080973478 -0.134699114384643 -0.0339351973491653  var: 0.00112084376715078 0.00747531937410185 0.00867496795871003
