x y
-3.5 3.15
-2.7 3.15
-1.9 3.15
-1.1 3.15
-0.3 3.15
0.5 3.15
1.3 3.15
2.1 3.15
2.9 3.15
3.7 3.15
4.5 3.15
5.3 3.15
6.1 3.15
-10.7 3.95
-9.9 3.95
-9.1 3.95
-8.3 3.95
-7.5 3.95
-6.7 3.95
-5.9 3.95
-5.1 3.95
-4.3 3.95
-3.5 3.95
-2.7 3.95
-1.9 3.95
-1.1 3.95
-0.3 3.95
0.5 3.95
1.3 3.95
2.1 3.95
2.9 3.95
3.7 3.95
4.5 3.95
5.3 3.95
6.1 3.95
-10.7 4.75
-9.9 4.75
-9.1 4.75
-8.3 4.75
-7.5 4.75
-6.7 4.75
-5.9 4.75
-5.1 4.75
-4.3 4.75
-3.5 4.75
-2.7 4.75
-1.9 4.75
-1.1 4.75
-0.3 4.75
0.5 4.75
1.3 4.75
2.1 4.75
2.9 4.75
3.7 4.75
4.5 4.75
5.3 4.75
6.1 4.75
-10.7 5.55
-9.9 5.55
-9.1 5.55
-8.3 5.55
-7.5 5.55
-6.7 5.55
-5.9 5.55
-5.1 5.55
-4.3 5.55
-3.5 5.55
-2.7 5.55
-1.9 5.55
-1.1 5.55
-0.3 5.55
0.5 5.55
1.3 5.55
2.1 5.55
2.9 5.55
3.7 5.55
4.5 5.55
5.3 5.55
6.1 5.55
-10.7 6.35
-9.9 6.35
-9.1 6.35
-8.3 6.35
-7.5 6.35
-6.7 6.35
-5.9 6.35
-5.1 6.35
-4.3 6.35
-3.5 6.35
-2.7 6.35
-1.9 6.35
-1.1 6.35
-0.3 6.35
0.5 6.35
1.3 6.35
2.1 6.35
2.9 6.35
3.7 6.35
4.5 6.35
5.3 6.35
6.1 6.35
-10.7 7.15
-9.9 7.15
-9.1 7.15
-8.3 7.15
-7.5 7.15
-6.7 7.15
-5.9 7.15
-5.1 7.15
-4.3 7.15
-3.5 7.15
-2.7 7.15
-1.9 7.15
-1.1 7.15
-0.3 7.15
0.5 7.15
1.3 7.15
2.1 7.15
2.9 7.15
3.7 7.15
4.5 7.15
5.3 7.15
6.1 7.15
-10.7 7.95
-9.9 7.95
-9.1 7.95
-8.3 7.95
-7.5 7.95
-6.7 7.95
-5.9 7.95
-5.1 7.95
-4.3 7.95
-3.5 7.95
-2.7 7.95
-1.9 7.95
-1.1 7.95
-0.3 7.95
0.5 7.95
1.3 7.95
2.1 7.95
2.9 7.95
3.7 7.95
4.5 7.95
