"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped"
0,0,-0.059639508,0.264262704,-0.478191325,-0.265893151,-0.446696738,0.0263992280000001,0.361122069,-0.048896727,0.432806403,0.0392735640000001,0.160506303,0.165180893,0.187617408,-0.133591576,-0.084682693,-0.00768424700000003,TRUE,"f1","1stO",70,"null"
0,0,-0.221152079221657,0.164555705757384,-0.438047578462506,-0.257000428106213,-0.583004672330641,-0.00503355677578773,0.403539877190126,-0.156282384977571,0.457093397281824,0.0414774057585398,0.184793296868999,0.167384734534195,0.211904401694568,-0.131387734625645,-0.0603956977264141,-0.00548040572252675,TRUE,"L","2ndO",205,"null"
0,0,-0.151165622394644,0.225098417012548,-0.438597310292695,-0.261089118106323,-0.528240730437802,0.013280242729522,0.316424886181937,0.26311962906956,0.494281094734605,0.0448518785154144,0.221980994186017,0.170759206877625,0.249092099144517,-0.128013261548101,-0.0232080007385865,-0.00210593193804073,TRUE,"L","2ndO",184,"null"
0,0,0.0866835018986805,0.262720620309254,-0.480661883473594,-0.00349132013355452,-0.399260837837582,0.0540308457373941,0.348789265047849,-0.0913964308899418,0.555804472087813,0.0504346108438394,0.283504371720503,0.176341940086593,0.310615476285504,-0.122430529178981,0.0383153759181946,0.00347680006377226,TRUE,"L","1stO",63,"null"
0,0,-0.142833996332776,0.234041598634286,-0.416069658762193,-0.196614248830251,-0.530394425031596,-0.038879788099404,0.38091974881316,-0.142501837987878,0.524286994804778,0.0475746631799094,0.251986895230719,0.173481992970379,0.279097999366168,-0.125290475935253,0.00679789995677286,0.000616852868866202,TRUE,"f1","2ndO",225,"null"
0,0,0.0308259673060996,0.268154779197851,-0.479143244320209,-0.156892602053012,-0.427617133615982,0.119926590283024,0.380024342536431,-0.0899605254915414,0.563514842038061,0.0511342624793184,0.291214741287037,0.177041591747679,0.318325846682934,-0.121730877347081,0.0460257469162621,0.00417645174506368,TRUE,"L","2ndO",197,"null"
0,0,-0.0183351932642053,0.266807036909056,-0.43049466953323,-0.21921851391208,-0.463845449554778,0.0674287151694092,0.349710856218218,-0.220967777199902,0.492821476550449,0.0447194303635995,0.2205213760256,0.170626759505271,0.247632480515751,-0.128145709162708,-0.0246676190135749,-0.00223838011554263,TRUE,"f2","f3",170,"null"
0,0,-0.0240798806327493,0.266039265822315,-0.397085532919349,-0.197622040732966,-0.447356544695489,0.0818244153862615,0.398422927964237,-0.0914628026190566,0.553615040752713,0.0502359382478092,0.281314940616364,0.176143266772771,0.308426045128013,-0.122629201936048,0.0361259450207108,0.00327812758849176,TRUE,"L","f1",182,"null"
0,0,-0.215781940064506,0.184934002192971,-0.462269510293254,-0.259320978567073,-0.545937256908998,0.013286875578354,0.350607517818861,0.199204134298527,0.456083304726645,0.0413857483007555,0.183783204627268,0.167293076674319,0.210894308789969,-0.131479391438462,-0.0614057913094077,-0.00557206306489826,TRUE,"f1","f3",133,"null"
0,0,-0.10302293483352,0.249642569037095,-0.3789628838333,-0.250589198714866,-0.509953295031384,0.0261696372432955,0.369209661585299,-0.277451365709574,0.523040137770197,0.0474615213243195,0.250740038330049,0.173368850265518,0.27785114199801,-0.125403618033649,0.00555104255786173,0.00050371090755023,TRUE,"f1","1stO",60,"null"
0,0,-0.198581969566282,0.177704104352129,-0.487108814529496,-0.247052494794217,-0.532842645064038,0.039995061046917,0.390208545146024,-0.188062510975716,0.474817847547188,0.0430857514924211,0.202517747493062,0.168993080618536,0.229628852287053,-0.129779388096586,-0.0426712477789055,-0.00387205997040199,TRUE,"f2","f3",134,"null"
0,0,0.0370853618526744,0.267072035302651,-0.413323316677161,-0.222489133066662,-0.480485119273917,0.056351850158477,0.379488664633309,-0.213874191067074,0.554443065564016,0.0503110745794224,0.282142965559675,0.176218403522873,0.309254070908768,-0.122554064668251,0.0369539699053007,0.00335326431700526,TRUE,"f1","1stO",63,"null"
0,0,-0.0552026550956481,0.260926245120019,-0.447199804618377,-0.217320742212036,-0.453992740332804,0.0694870371594444,0.360163306901495,-0.0151088115937183,0.520629430639525,0.0472427697990989,0.248329330407348,0.173150099096363,0.275440435003601,-0.12562236982531,0.00314033477142376,0.000284959471953623,TRUE,"f2","1stO",59,"null"
0,0,0.0464492452955686,0.27317141902849,-0.406371695108307,-0.23506121597324,-0.434353519242342,0.0512037230316635,0.386400858056404,0.0932615841684401,0.572883586753143,0.0519843977652513,0.300583486668592,0.177891726715041,0.327694591718611,-0.120880741603041,0.0553944906408227,0.00502658723065222,TRUE,"f1","1stO",58,"null"
0,0,-0.0612610358191859,0.259879035655958,-0.466439557227286,-0.149390702633762,-0.47151257983657,0.129468366013576,0.39415763877794,0.14889770130862,0.55206329524802,0.050095130311586,0.279763195446421,0.17600245909681,0.306874300191244,-0.122770009059494,0.034574200389645,0.00313731972572995,TRUE,"f2","f3",108,"null"
0,0,0.0244613923333367,0.268695587343514,-0.348131759283628,-0.242009008830233,-0.400683368879533,0.0512691873463085,0.376837302933553,-0.217218429583131,0.586064695267163,0.0531804732050494,0.313764595806407,0.17908780220982,0.340875700666335,-0.119684666920935,0.0685756002080772,0.00622266215447341,TRUE,"f2","f3",158,"null"
0,0,0.0556333808677068,0.269677702408017,-0.424732437776497,-0.203198903632145,-0.385967853999507,0.0755028827644586,0.341799827709416,-0.121432189373514,0.618587750221182,0.0561316686387551,0.346287650185186,0.182038998029472,0.373398754525144,-0.116733470967653,0.101098654489149,0.00917385842306416,TRUE,"f2","f3",126,"null"
0,0,-0.298640735266295,0.132708953205089,-0.44896277814912,-0.244174620612348,-0.639604790281267,-0.00676020278958421,0.402784337145571,-0.144820016631588,0.379236976953063,0.0344125862794423,0.106936877264565,0.160319914687285,0.134047982165947,-0.138452553572379,-0.138252118504689,-0.0125452241469867,TRUE,"L","1stO",56,"null"
0,0,-0.292393748849168,0.155870823902285,-0.47095438401098,-0.219011698418968,-0.588289801931576,0.0609281190604574,0.384619100963652,-0.154832212213534,0.437021293132724,0.0396560300546452,0.164721192796094,0.165563358428281,0.191832297697967,-0.133209109417041,-0.0804678026386631,-0.00730178104340446,TRUE,"L","2ndO",202,"null"
0,0,-0.103128159961029,0.249602209690151,-0.471097476482509,-0.176357534048379,-0.486814873448981,0.0483636654261984,0.360227062789876,-0.240504418335325,0.508311206987513,0.04612499394918,0.23601110712936,0.172032322862046,0.263122211021482,-0.126740145322613,-0.00917788883667085,-0.000832816409747478,TRUE,"f3","1stO",60,"null"
0,0,-0.165426855536834,0.218988546950989,-0.455084597966601,-0.250776646099249,-0.544862578563507,0.0122250183487766,0.329037837229227,0.261535669357164,0.483802960173829,0.0439010753724367,0.211502860636484,0.169808404499508,0.238613965371681,-0.128964063961486,-0.0336861351147001,-0.00305673514958071,TRUE,"f2","f3",197,"null"
0,0,-0.0785300474409222,0.2533557418452,-0.410277164773525,-0.246506520919625,-0.465386533971712,0.0361351174618345,0.350872350007399,0.146298151333976,0.528516905216104,0.0479584921993096,0.256216805201061,0.173865820795676,0.283327910168451,-0.124906647794849,0.0110278099981264,0.00100068178938796,TRUE,"L","f1",164,"null"
0,0,-0.0895113507098632,0.256614747811654,-0.430563929587407,-0.248654874029244,-0.509881336867116,0.0358879382402506,0.373363374990492,-0.247757100708486,0.500086522548688,0.0453786725721183,0.22778642222392,0.171286001549006,0.254897526852611,-0.127486466771384,-0.0174025734721574,-0.00157913779449639,TRUE,"L","1stO",54,"null"
0,0,-0.0477430518585756,0.26070043774625,-0.33628908318911,-0.243239332732805,-0.47740133763292,0.0238208918265534,0.408009796960781,-0.23316189408211,0.572389712728985,0.0519395828249876,0.30008961288527,0.177846911494511,0.327200717532861,-0.120925556658649,0.0549006176891454,0.00498177201087352,TRUE,"f1","1stO",62,"null"
0,0,-0.214682704289342,0.163311722768368,-0.436395722048723,-0.255837891295875,-0.552208271839576,0.00951642290013859,0.38608308305263,-0.170950687648779,0.487883319736588,0.0442713339021671,0.215583219422367,0.170178662541866,0.242694323948933,-0.128593806297091,-0.0296057754731355,-0.00268647656009316,TRUE,"L","2ndO",201,"null"
0,0,-0.464622840740573,0.158750546995919,-0.303402378688094,-0.202335950065486,-0.603834873051824,-0.106834334537585,0.368057531221458,-0.188063808865738,0.389635180888029,0.0353561363861289,0.117335081211988,0.161263466080424,0.144446185321674,-0.137509003539023,-0.127853915353106,-0.0116016738949468,TRUE,"f2","f3",131,"null"
0,0,0.057721597356835,0.266539974584828,-0.428833538707689,-0.0190303361216669,-0.389053593121211,-0.153069014433222,0.375033715362114,-0.0629117187321843,0.59563848847365,0.0540492149279342,0.323338388272035,0.179956543710771,0.35044949259296,-0.118815924679465,0.0781493923913456,0.00709140410337164,TRUE,"f2","f3",140,"null"
0,0,-0.208558968450568,0.186267544129091,-0.407388641002132,-0.266588566113715,-0.48515441502925,0.0106381167266881,0.373600111749358,0.0127514010198426,0.491841010728091,0.0446304612842206,0.219540911309828,0.17053779059352,0.246652015149658,-0.128234677958099,-0.025648084268604,-0.00232734864879907,TRUE,"f1","2ndO",218,"null"
0,0,-0.00937769874171278,0.266169724189809,-0.469789659487613,-0.13857841440546,-0.451965484608311,0.0120795083177764,0.355923538303255,-0.119029501990661,0.557692420131237,0.0506059263507222,0.28539232005518,0.176513255218135,0.312503425221279,-0.122259213034633,0.0402033250483462,0.00364811483748383,TRUE,"f1","f2",154,"null"
0,0,0.00731371038016309,0.269482846135236,-0.468855719169772,-0.195555262376446,-0.481103845082722,0.0611862899852348,0.359754506672086,-0.263524192421565,0.517914231406502,0.0469963881603066,0.245614131438885,0.172903716357994,0.272725235667464,-0.12586875150414,0.000425135699847583,3.85766935479699e-05,TRUE,"L","2ndO",207,"null"
0,0,0.0570815884557729,0.267855759634855,-0.409236869515789,-0.221279805891619,-0.44942209922849,0.0616348010855979,0.406052898247,0.022548363669884,0.605174466976124,0.0549145252824573,0.33287436637755,0.180821854338115,0.359985470697586,-0.117950614754026,0.087685371097849,0.00795671434983926,TRUE,"f1","2ndO",190,"null"
