
randomseed [1] modified_value [i] x[1.000000] from [1]
drone_no t delta_des delta_l delta_f2 delta_f3 delta_obs[-1] delta_obs[-2] delta_obs[-3] delta_wall cont_s_des cont_s_l cont_s_f2 cont_s_f3 cont_s_obs[-1] cont_s_obs[-2] cont_s_obs[-3] cont_s_wall dist_d_obs_ltr dist_d_obs_dia dist_d_obs_btt relative_s_obs_dia dist_first_saw dist_biggest_infl dist_closest accu_infl max_relative_s extra_dist_with_1st extra_dist_with_2nd extra_dist_with_3rd 
1 17 0.076592684762 0.0022519375863 0.0 0.0002505618067 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 996.368794962 996.368792361 3.71882426044 0.749710638574 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 18 0.0664212507917 0.0028598177701 0.0 0.000376765952673 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 996.32686969 996.326866903 3.67220194121 0.749706718695 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 19 0.0705069325209 0.000933570074671 0.0 0.000319709409273 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 996.285538989 996.285536019 3.62485307178 0.749703446616 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 20 0.0700274325994 0.00183305717578 0.0 0.000312220692596 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 1.88490042685 1.68104173018 1.31484083088 0.205741929476 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 21 0.0689022856758 0.00156266334179 0.0 0.000351002657627 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 1.93177615309 1.56392902296 1.27016051463 0.20265163189 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 22 0.0676946586903 0.000852598783237 0.0 0.000368852558581 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 1.98035638344 1.44634859961 1.22492368808 0.199577614113 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 23 0.0341577836912 0.00054679207028 0.0 0.000501811767066 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 2.03067875882 1.32848836406 1.17933510334 0.196424715744 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 24 0.0674905322401 0.000733004643204 0.0 0.000345977334292 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 2.08517671652 1.21131672981 1.13474277747 0.192496215538 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 25 0.0338320359773 0.000813292114949 0.0 0.000472256369676 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 2.14090899148 1.09393589552 1.08983821991 0.188331151784 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 26 0.0335515419382 0.000611189593331 0.0 0.000445679917142 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 2.19902941579 0.976892393064 1.04533895407 0.183456582618 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 27 0.0321814994918 0.000695423630997 0.0 0.000466001817072 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 2.1858584866 0.939508277918 1.01038096943 0.177617433894 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 28 0.0762527688052 0.00059625640095 0.0 0.00028572552715 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 2.25934698302 0.860307492266 1.0013022739 0.170303367113 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 29 0.0735637254302 0.00985639920132 0.0 0.000153503143271 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 2.24717738851 0.823275985537 0.9667185156 0.160662213042 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 30 0.0377026527579 0.0512410907518 0.0 0.000670744110799 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 2.17315737291 0.744395363764 0.95774660822 0.143642174621 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
