size	ver	log	param	vari.	rollback	rollback	standard	size_r	mean:	f1	f2	f3	var:	f1	f2	f3
0.7	x	[log]	i	x2.0	rollback	160.csv	0.12	0.714285714285714subset's	mean:	-0.573966021	-0.710863894	-0.506623601	var:	0.055445261	0.203304015	0.042207016
0.7	y	[log]	i	x2.0	rollback	160.csv	0.12	0.714285714285714subset's	mean:	0.027385284	-0.264453892	-0.163980562	var:	0.015500384	0.023648652	0.021343214
0.7	x	[log]	i	x2.0	rollback	180.csv	0.07	0.709677419354839subset's	mean:	-0.558845289	-0.789344348	-0.556847264	var:	0.04748421	0.185807539	0.014908099
0.7	y	[log]	i	x2.0	rollback	180.csv	0.07	0.709677419354839subset's	mean:	0.011665604	-0.264469845	-0.188877368	var:	0.016532275	0.050143594	0.006457889
0.7	x	[log]	i	x2.0	rollback	20.csv	0.0325	0.707692307692308subset's	mean:	-0.21544884	-0.484631642	-0.494166717	var:	0.006460721	0.004321439	0.006150674
0.7	y	[log]	i	x2.0	rollback	20.csv	0.0325	0.707692307692308subset's	mean:	0.217163265	-0.275246346	0.016058642	var:	0.013939731	0.007137473	0.011503273
0.7	x	[log]	i	x2.0	rollback	200.csv	0.095	0.784615384615385subset's	mean:	-0.579534386	-0.985561215	-0.53468933	var:	0.064482308	0.102087579	0.013147002
0.7	y	[log]	i	x2.0	rollback	200.csv	0.095	0.784615384615385subset's	mean:	0.00843536	-0.33539407	-0.192828112	var:	0.023702892	0.016687018	0.010004625
0.7	x	[log]	i	x2.0	rollback	220.csv	0.12	0.769230769230769subset's	mean:	-0.532659665	-0.663764893	-0.530474837	var:	0.054601172	0.215520675	0.033093725
0.7	y	[log]	i	x2.0	rollback	220.csv	0.12	0.769230769230769subset's	mean:	0.001347989	-0.238684811	-0.181495149	var:	0.020391366	0.053720391	0.012041737
0.7	x	[log]	i	x2.0	rollback	240.csv	0.095	0.703125subset's	mean:	-0.517194933	-0.495642709	-0.555865314	var:	0.067099268	0.068978131	0.021814015
0.7	y	[log]	i	x2.0	rollback	240.csv	0.095	0.703125subset's	mean:	0.020460035	-0.283570099	-0.162805585	var:	0.025688337	0.017019024	0.012311126
0.7	x	[log]	i	x2.0	rollback	40.csv	0.05125	0.784615384615385subset's	mean:	-0.228747773	-0.54285691	-0.512397708	var:	0.016014775	0.008865597	0.013897043
0.7	y	[log]	i	x2.0	rollback	40.csv	0.05125	0.784615384615385subset's	mean:	0.220444998	-0.277706201	0.008127891	var:	0.009888388	0.015194226	0.006671513
0.7	x	[log]	i	x2.0	rollback	60.csv	0.045	0.723076923076923subset's	mean:	-0.295824499	-0.578974287	-0.579605477	var:	0.004150454	0.003340988	0.011661995
0.7	y	[log]	i	x2.0	rollback	60.csv	0.045	0.723076923076923subset's	mean:	0.092314217	-0.298422888	0.004107158	var:	0.028125029	0.021352108	0.006789119
0.7	x	[log]	i	x2.0	rollback	80.csv	0.045	0.769230769230769subset's	mean:	-0.305243905	-0.558745907	-0.540926827	var:	0.004693607	0.005265829	0.008237274
0.7	y	[log]	i	x2.0	rollback	80.csv	0.045	0.769230769230769subset's	mean:	0.08033571	-0.30635955	0.03267629	var:	0.037818589	0.014639732	0.005640331
0.7	x	[log]	r	x0.2	rollback	0.csv	0.010625	0.75subset's	mean:	0.024119121	-0.450535078	-0.410957929	var:	0.007208933	0.000713582	0.001727538
0.7	y	[log]	r	x0.2	rollback	0.csv	0.010625	0.75subset's	mean:	0.189182362	-0.183057719	0.017005114	var:	0.000144568	0.000571159	6.77E-05
0.7	x	[log]	r	x0.2	rollback	100.csv	0.01375	0.734375subset's	mean:	-0.047705171	-0.494002457	-0.450538678	var:	0.004259315	0.000411794	0.005354461
0.7	y	[log]	r	x0.2	rollback	100.csv	0.01375	0.734375subset's	mean:	0.182836844	-0.179400403	0.005809039	var:	0.00028334	0.000589071	0.000101502
0.7	x	[log]	r	x0.2	rollback	120.csv	0.02	0.78125subset's	mean:	-0.013103933	-0.483144332	-0.389899358	var:	0.005257544	0.00081473	0.004344685
0.7	y	[log]	r	x0.2	rollback	120.csv	0.02	0.78125subset's	mean:	0.187752558	-0.164729972	0.012347923	var:	0.000177894	0.001062319	0.000402201
0.7	x	[log]	r	x0.2	rollback	140.csv	0.02	0.761904761904762subset's	mean:	0.06980218	-0.457130987	-0.389120152	var:	0.008311582	0.000548633	0.00286005
0.7	y	[log]	r	x0.2	rollback	140.csv	0.02	0.761904761904762subset's	mean:	0.190188433	-0.160250128	0.018430646	var:	5.82E-05	0.001733993	0.000201619
0.7	x	[log]	r	x0.2	rollback	160.csv	0.02	0.78125subset's	mean:	0.055773944	-0.461922733	-0.396070688	var:	0.008284906	0.000547373	0.006105581
0.7	y	[log]	r	x0.2	rollback	160.csv	0.02	0.78125subset's	mean:	0.189785122	-0.172867439	0.019810981	var:	7.04E-05	0.000654985	0.000368619
0.7	x	[log]	r	x0.2	rollback	180.csv	0.016875	0.765625subset's	mean:	0.034167437	-0.45596178	-0.387352055	var:	0.007310224	0.000744221	0.002457762
0.7	y	[log]	r	x0.2	rollback	180.csv	0.016875	0.765625subset's	mean:	0.189860377	-0.177316131	0.025698425	var:	0.000104873	0.000469088	0.000405951
0.7	x	[log]	r	x0.2	rollback	20.csv	0.02	0.707692307692308subset's	mean:	-0.178792085	-0.484320004	-0.449334125	var:	0.006995618	0.004196658	0.008136186
0.7	y	[log]	r	x0.2	rollback	20.csv	0.02	0.707692307692308subset's	mean:	0.146234013	-0.187619339	-0.031726042	var:	0.00068006	0.001589311	0.002522717
0.7	x	[log]	r	x0.2	rollback	200.csv	0.01375	0.796875subset's	mean:	0.039468805	-0.452271084	-0.418596286	var:	0.00709407	0.000487703	0.002067669
0.7	y	[log]	r	x0.2	rollback	200.csv	0.01375	0.796875subset's	mean:	0.190090395	-0.181723865	0.021740446	var:	6.33E-05	0.000369766	0.000455919
0.7	x	[log]	r	x0.2	rollback	220.csv	0.01375	0.75subset's	mean:	0.034214916	-0.45105525	-0.420376169	var:	0.007337666	0.000583323	0.002138257
0.7	y	[log]	r	x0.2	rollback	220.csv	0.01375	0.75subset's	mean:	0.190107728	-0.181624758	0.016852559	var:	0.000112501	0.000422995	0.000239813
0.7	x	[log]	r	x0.2	rollback	240.csv	0.01375	0.765625subset's	mean:	0.035936178	-0.451091143	-0.405679616	var:	0.0063236	0.000577258	0.002730198
0.7	y	[log]	r	x0.2	rollback	240.csv	0.01375	0.765625subset's	mean:	0.191253502	-0.183280465	0.016849417	var:	6.70E-05	0.000572156	0.000276023
0.7	x	[log]	r	x0.2	rollback	40.csv	0.02	0.753846153846154subset's	mean:	-0.188183748	-0.48737441	-0.424725481	var:	0.008116962	0.002138011	0.006112653
0.7	y	[log]	r	x0.2	rollback	40.csv	0.02	0.753846153846154subset's	mean:	0.147970103	-0.181042183	-0.013297339	var:	0.000535837	0.000613357	0.000670175
0.7	x	[log]	r	x0.2	rollback	60.csv	0.010625	0.75subset's	mean:	-0.05065753	-0.467566617	-0.383411327	var:	0.002537606	0.000674118	0.001242775
0.7	y	[log]	r	x0.2	rollback	60.csv	0.010625	0.75subset's	mean:	0.182904491	-0.171374857	0.00553386	var:	0.000164465	0.000674439	4.72E-05
0.7	x	[log]	r	x0.2	rollback	80.csv	0.02	0.765625subset's	mean:	-0.031681147	-0.471363883	-0.437387479	var:	0.003047339	0.001516593	0.00533648
0.7	y	[log]	r	x0.2	rollback	80.csv	0.02	0.765625subset's	mean:	0.186653994	-0.173785584	0.002974476	var:	0.000136887	0.000888945	0.000285592
0.7	x	[log]	r	x2.0	rollback	0.csv	0.07	0.765625subset's	mean:	-0.254258888	-0.512404227	-0.587984222	var:	0.018701656	0.039947148	0.014552383
0.7	y	[log]	r	x2.0	rollback	0.csv	0.07	0.765625subset's	mean:	0.127930753	-0.102756488	-0.118909805	var:	0.009065888	0.01285858	0.006672288
0.7	x	[log]	r	x2.0	rollback	100.csv	0.045	0.769230769230769subset's	mean:	-0.242551467	-0.406728453	-0.59001283	var:	0.014604661	0.009237011	0.00965931
0.7	y	[log]	r	x2.0	rollback	100.csv	0.045	0.769230769230769subset's	mean:	0.143664352	-0.167873939	-0.029910216	var:	0.005996024	0.011689131	0.001910292
0.7	x	[log]	r	x2.0	rollback	120.csv	0.0575	0.796875subset's	mean:	-0.249123981	-0.410904696	-0.60603761	var:	0.018017929	0.010639633	0.012250902
0.7	y	[log]	r	x2.0	rollback	120.csv	0.0575	0.796875subset's	mean:	0.130930994	-0.179692693	-0.030438706	var:	0.008226665	0.009100197	0.00307971
0.7	x	[log]	r	x2.0	rollback	140.csv	0.0575	0.78125subset's	mean:	-0.22904654	-0.387207742	-0.617866211	var:	0.020242041	0.015375982	0.010374773
0.7	y	[log]	r	x2.0	rollback	140.csv	0.0575	0.78125subset's	mean:	0.161348934	-0.180364867	-0.056328168	var:	0.003390416	0.00597055	0.003589142
0.7	x	[log]	r	x2.0	rollback	160.csv	0.07	0.793650793650794subset's	mean:	-0.225785316	-0.465224834	-0.617883982	var:	0.017803936	0.048096864	0.010868135
