20,randomseed,[1],modified_value,[r],x[0.200000],from,[305],simul_tick,[325],-1,-0.1144043988,-1.7791834618,-0.1048415836,-1.5714412534,-0.5964943516,-1.9955320032,-0.4262075442,-1.800881965,17.25,2.05,0.1,-1.85,-2.05,1,0.1732610032,-1.7480649365,-0.101171988,-1.6268769283,-0.0689073862,-1.9251368744,-0.3433403774,-1.8039488662,False,null,null,325,null
20,randomseed,[1],modified_value,[r],x[0.200000],from,[305],simul_tick,[325],-2,-0.1540359932,-1.7845998007,-0.1434338789,-1.5819595588,-0.6362455878,-1.9999861269,-0.4646452396,-1.8119519051,17.19,2.05,0.114,-1.85,-2.05,0.99,0.1222823178,-1.7378095165,-0.1589223397,-1.6332918595,-0.108834957,-1.929081065,-0.3900396145,-1.8245634081,False,null,null,325,null
20,randomseed,[1],modified_value,[r],x[0.200000],from,[305],simul_tick,[325],-3,-0.1932592202,-1.7924444461,-0.1809945271,-1.5957144744,-0.6758999287,-2.00523334,-0.5041849472,-1.818002651,17.13,2.05,0.128,-1.85,-2.05,0.98,0.1222823178,-1.7378095165,-0.1593074641,-1.6343339411,-0.1081250501,-1.9299356334,-0.3897148321,-1.826460058,False,null,null,325,null
20,randomseed,[1],modified_value,[r],x[0.200000],from,[305],simul_tick,[325],-4,-0.2326396529,-1.7994573998,-0.2209799781,-1.5967932285,-0.7155131875,-2.010782189,-0.5436429861,-1.8245649038,17.07,2.05,0.142,-1.85,-2.05,0.97,0.1184447664,-1.7385112186,-0.1631899471,-1.6351579983,-0.1118791047,-1.9307374249,-0.3935138182,-1.8273842046,False,null,null,325,null
40,randomseed,[1],modified_value,[r],x[0.200000],from,[285],simul_tick,[325],-1,-0.1138048837,-1.7831892384,-0.1087909953,-1.5877870213,-0.5599627807,-2.0036230588,-0.45480264,-1.793127549,17.25,2.05,0.1,-1.85,-2.05,1,0.2242396885,-1.7583203565,-0.0458730134,-1.6277863446,-0.0238624329,-1.9269778123,-0.2939751347,-1.7964438003,False,null,null,325,null
40,randomseed,[1],modified_value,[r],x[0.200000],from,[285],simul_tick,[325],-2,-0.153634729,-1.7868748085,-0.1487838271,-1.5885442598,-0.5997268927,-2.0079607306,-0.4938673549,-1.801726854,17.19,2.05,0.114,-1.85,-2.05,0.99,0.1732610032,-1.7480649365,-0.1024189302,-1.6297409138,-0.067050573,-1.9276487508,-0.3427305064,-1.8093247281,False,null,null,325,null
40,randomseed,[1],modified_value,[r],x[0.200000],from,[285],simul_tick,[325],-3,-0.1932113256,-1.792679376,-0.1874858983,-1.5986511723,-0.6393679739,-2.013307195,-0.5332251106,-1.8088659766,17.13,2.05,0.128,-1.85,-2.05,0.98,0.1222823178,-1.7378095165,-0.1593848254,-1.6345447093,-0.1079812002,-1.9301080144,-0.3896483434,-1.8268432071,False,null,null,325,null
40,randomseed,[1],modified_value,[r],x[0.200000],from,[285],simul_tick,[325],-4,-0.2325917583,-1.7996923297,-0.2274713493,-1.5997299263,-0.6791320859,-2.0176448668,-0.5728825763,-1.8140895206,17.07,2.05,0.142,-1.85,-2.05,0.97,0.1222823178,-1.7378095165,-0.1594311171,-1.6346710629,-0.1078949206,-1.9302112809,-0.3896083554,-1.8270728273,False,null,null,325,null
60,randomseed,[1],modified_value,[r],x[0.200000],from,[265],simul_tick,[326],-1,-0.1260599528,-1.7861122556,-0.1950272465,-1.6065043303,-0.5609150538,-2.0296034788,-0.5063643292,-1.8098034341,17.31,2.05,0.086,-1.85,-2.05,1.01,0.2242396885,-1.7583203565,-0.0466174485,-1.6293381432,-0.0228907533,-1.9283984113,-0.2937478903,-1.799416198,False,null,null,326,null
60,randomseed,[1],modified_value,[r],x[0.200000],from,[265],simul_tick,[326],-2,-0.1657867303,-1.7907794977,-0.2348761639,-1.6099776258,-0.6004407231,-2.0357452594,-0.5448512305,-1.8207010679,17.25,2.05,0.1,-1.85,-2.05,1,0.1732610032,-1.7480649365,-0.1032583939,-1.6317162234,-0.0657596366,-1.9293634024,-0.3422790337,-1.8130146893,False,null,null,326,null
60,randomseed,[1],modified_value,[r],x[0.200000],from,[265],simul_tick,[326],-3,-0.20538471,-1.796436352,-0.2746860505,-1.6138728705,-0.639856623,-2.0425560471,-0.5836177774,-1.8305577836,17.19,2.05,0.114,-1.85,-2.05,0.99,0.1222823178,-1.7378095165,-0.1598826955,-1.6359129745,-0.1070451828,-1.9312233151,-0.3892101961,-1.8293267731,False,null,null,326,null
60,randomseed,[1],modified_value,[r],x[0.200000],from,[265],simul_tick,[326],-4,-0.2446079371,-1.8042809974,-0.3138341119,-1.6220844044,-0.679382991,-2.0486933296,-0.6229481671,-1.837846161,17.13,2.05,0.128,-1.85,-2.05,0.98,0.1222823178,-1.7378095165,-0.1601044263,-1.6365290802,-0.1066224849,-1.9317233924,-0.389009229,-1.8304429561,False,null,null,326,null
80,randomseed,[1],modified_value,[r],x[0.200000],from,[245],simul_tick,[326],-1,-0.1233505188,-1.7859043963,-0.2084153724,-1.6092574279,-0.5564906069,-2.0301937465,-0.5044373428,-1.8115451512,17.31,2.05,0.086,-1.85,-2.05,1.01,0.2242396885,-1.7583203565,-0.0466200667,-1.6293436416,-0.0228873007,-1.9284034279,-0.293747056,-1.799426713,False,null,null,326,null
80,randomseed,[1],modified_value,[r],x[0.200000],from,[245],simul_tick,[326],-2,-0.1630772963,-1.7905716384,-0.2480031826,-1.6149850175,-0.5960169749,-2.036331029,-0.5431863014,-1.8214707849,17.25,2.05,0.1,-1.85,-2.05,1,0.1732610032,-1.7480649365,-0.1033038255,-1.6318242572,-0.0656887925,-1.9294567643,-0.3422536211,-1.8132160849,False,null,null,326,null
