"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped"
0,0,-0.032924156,0.245292726,-0.27301881,-0.198205707,-0.509805165,-0.049778597,0.263270918,-0.0461607130000001,0.460955252,0.042009578,0.188605938,0.167810418,0.215833872,-0.130951426,-0.056515442,-0.00515058600000007,TRUE,"f1","1stO",70,"null"
0,0,-0.486236767892159,0.0701777403247356,-0.400447471362678,-0.21643845140097,-0.715206052780678,-0.0987461642933924,0.303048183453473,-0.1716110115715,0.390120889578647,0.0355540236694898,0.117771575337566,0.161354863625404,0.144999509308064,-0.137406980989147,-0.127349803942284,-0.0116061408974049,FALSE,"null","null",304,"null"
0,0,-0.527891680407424,0.0821586461893929,-0.369906748002316,-0.205830611790493,-0.726726495548672,-0.0939792635147719,0.20706079057354,0.22354953346503,0.366589007437376,0.0334094240928247,0.0942396941193795,0.159210263725656,0.121467627950793,-0.139551580348462,-0.150881685673367,-0.0137507397636511,TRUE,"L","f1",190,"null"
0,0,0.0551476395893316,0.249910139161211,-0.263843476374438,0.103740236146809,-0.360302033838719,-0.0940530137079656,0.290131530523788,-0.0715151841893607,0.635429281505354,0.0579104280709726,0.363079968055433,0.18371126800555,0.39030790122525,-0.115050576077089,0.117958587775329,0.0107502638574883,TRUE,"L","1stO",63,"null"
0,0,-0.403880019059882,0.0705883070531834,-0.582858152683701,-0.264340011185096,-0.816275044469394,-0.142998851299554,0.307611492546704,-0.156422730761275,0.309047124311916,0.0281652920063858,0.036697810581276,0.153966132083253,0.0639257441406006,-0.144795712213929,-0.20842356959004,-0.018994872137062,FALSE,"null","null",313,"null"
0,0,-0.297297935802582,0.170335512623199,-0.411656945813394,-0.120904600522403,-0.627686002953769,0.0592661204511621,0.25520785664474,-0.0593374289876636,0.447881895851112,0.0408181257441124,0.175532581808219,0.166618966273445,0.202760514905799,-0.13214287853309,-0.0695887981548966,-0.00634203819161197,FALSE,"null","null",298,"null"
0,0,-0.101478080087983,0.228046194409739,-0.372405485766894,0.0498477939208138,-0.462440794929792,-0.152280654077646,0.269301795537735,-0.203666545514468,0.485508720227937,0.0442472807579498,0.213159406987743,0.170048120823056,0.240387339849919,-0.128713723433613,-0.0319619733902742,-0.00291288336850654,TRUE,"L","f1",192,"null"
0,0,-0.952706340374568,0.142861479036464,-0.289037343621818,-0.168524027770107,-0.508372313180872,0.00337797493081357,0.26997908881265,-0.0686812930013419,0.333041527372917,0.030352043849609,0.0606922140275349,0.15615288400058,0.0879201474552751,-0.142608960286603,-0.184429165890107,-0.0168081201356323,FALSE,"null","null",298,"null"
0,0,-0.242729106380955,0.135732171370218,-0.456008064203356,-0.0141319948724113,-0.408744577319738,-0.237468360553857,0.23275025755658,0.157804763884841,0.486031136236262,0.0442948916181255,0.213681822613161,0.170095731094278,0.240909756235777,-0.128666113159423,-0.0314395576738937,-0.0028652727252116,TRUE,"L","f1",205,"null"
0,0,-0.21954771955804,-0.114785401241299,-0.272080384384987,0.106886274021701,-0.426661376384444,-0.0676343367318627,0.209753870570823,-0.285431110811587,0.555333502274494,0.0506108260586938,0.28298418870413,0.176411665944295,0.310212122609319,-0.122350177748951,0.0378628080392071,0.00345066211415315,TRUE,"f1","1stO",60,"null"
0,0,-0.21337958279026,0.137037408249211,-0.526259128056883,-0.240173736325036,-0.506383112263763,0.0208893435710328,0.295586046420703,-0.194462674279686,0.459480713348839,0.0418751945729512,0.187131399333552,0.16767603467377,0.214359333396717,-0.131085810313729,-0.0579899806185711,-0.00528497021291073,FALSE,"null","null",312,"null"
0,0,-0.26596984755071,-0.143856970443113,-0.180283780178256,0.0692498269436315,-0.39712528579179,0.0611432250909141,0.288283700250009,-0.0120749899225374,0.532566830919221,0.0485359646660748,0.260217516986054,0.174336803918671,0.287445450498323,-0.124425040552937,0.0150961365906317,0.00137579969933526,TRUE,"f2","1stO",59,"null"
0,0,0.10846955507408,0.255166864743949,-0.199494939416376,-0.169209697852034,-1.1509041057749,-0.0437356431967994,0.259708164679689,0.0774841375779334,0.452190741671901,0.0412108163443658,0.179841428450253,0.167011656657903,0.207069361348708,-0.131750188249839,-0.0652799518729403,-0.00594934793630183,TRUE,"f1","1stO",58,"null"
0,0,-0.550336346018014,0.192402201715623,-0.463728714120049,-0.110856327870861,-0.207037257171627,0.0484631833191732,0.280213442547865,0.1715012432688,0.498384023229723,0.0454206832593435,0.226034709149005,0.171221522479148,0.253262643358678,-0.127540321723008,-0.0190866707437497,-0.00173948150343963,FALSE,"null","null",288,"null"
0,0,-0.170973693354271,0.173793522150264,-0.351254358386081,-0.239997727587632,-0.437608919964764,0.0106219496848306,0.288395304800322,-0.203989638244908,0.519789116373937,0.047371455977818,0.247439802683609,0.173172296187489,0.274667735532356,-0.125589548366853,0.00231842283953416,0.000211291772240304,FALSE,"null","null",293,"null"
0,0,-0.193130775700924,0.152033481265396,-0.633713573657723,-0.191490179422271,-0.564574420896816,0.0613512235179476,0.280053977632107,-0.113951997327094,0.445336849248525,0.0405861805969401,0.172987536434161,0.166387020832287,0.200215469839849,-0.132374823680511,-0.0721338439696079,-0.00657398334621816,FALSE,"null","null",304,"null"
0,0,-0.230249570146458,0.137533183776142,-0.38206290796018,-0.233796735323043,-0.544179252103155,-0.01324294752604,0.289850475021062,-0.155944615527543,0.441829985631727,0.0402665793775028,0.169480671311056,0.166067419563301,0.196708605195307,-0.13269442468204,-0.0756407081260246,-0.00689358453258007,TRUE,"L","1stO",56,"null"
0,0,-0.357488697809754,-0.124424833311669,-0.359824215246484,0.0905464566772818,-0.688621775152771,0.006528712402937,0.256970323053485,-0.156683040063329,0.408050633679786,0.0371880672779934,0.135701319834409,0.162988907566504,0.162929253630334,-0.135772937024164,-0.10942006021946,-0.00997209773564348,FALSE,"null","null",302,"null"
0,0,-0.21402191320199,0.141304052966786,-0.578894086046061,-0.209951182108222,-0.530348229878358,0.0440562116528694,0.253579743481279,-0.241967125792908,0.444296474714472,0.0404913651133377,0.171947160947727,0.166292204813291,0.19917509417339,-0.132469639248235,-0.0731742195933562,-0.00666879954828206,TRUE,"f3","1stO",60,"null"
0,0,-0.4458386621056,0.0737167989490006,-0.203485551298122,-0.179452625266174,-0.670608477361027,-0.0890004290962514,0.212294412587287,0.207787399914718,0.437271791624268,0.0398511642024622,0.164922477562934,0.165652004584852,0.19215041128791,-0.133109840198387,-0.0801989027734233,-0.00730899981599674,TRUE,"L","f1",216,"null"
0,0,-0.106446260031388,0.220863204005079,-0.333978568361471,-0.178573364675473,-0.777534030026399,-0.0545218718597535,0.246625573740322,0.125960315377536,0.500632000836443,0.0456255547521876,0.228282686860191,0.171426394983086,0.255510621169456,-0.127335449227319,-0.0168386926509308,-0.00153460998419842,FALSE,"null","null",293,"null"
0,0,-0.285536308107555,-0.158273957273547,-0.33400605142114,0.0505273449818864,-0.612772037800707,-0.0488389986775038,0.268462854254983,-0.24684754222445,0.473567163525616,0.0431589760785889,0.201217850570841,0.168959816452173,0.228445783922259,-0.129802027784888,-0.0439035300324497,-0.00400118742285079,TRUE,"L","1stO",54,"null"
0,0,-0.112533105564038,0.221703865756279,-0.251911566001478,-0.172126804273769,-0.921212067043259,-0.102127428543432,0.251575469849638,-0.239450587404246,0.40217669460992,0.0366527404746823,0.129827380233536,0.16245358062639,0.157055313997839,-0.136308264051564,-0.115293999316502,-0.0105074248337018,TRUE,"f1","1stO",62,"null"
